bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.3569,group00221
bin_7_acI-B2.genome.CDS.3568,group05272
bin_7_acI-B2.genome.CDS.3616,group00526
bin_7_acI-B2.genome.CDS.2902,group02055
bin_7_acI-B2.genome.CDS.2903,group13964
bin_7_acI-B2.genome.CDS.2900,group02396
bin_7_acI-B2.genome.CDS.2901,group01518
bin_7_acI-B2.genome.CDS.2906,group13961
bin_7_acI-B2.genome.CDS.2907,group00706
bin_7_acI-B2.genome.CDS.2904,group13963
bin_7_acI-B2.genome.CDS.2905,group13962
bin_7_acI-B2.genome.CDS.2908,group13960
bin_7_acI-B2.genome.CDS.2909,group12914
bin_7_acI-B2.genome.CDS.2836,group00444
bin_7_acI-B2.genome.CDS.2837,group00893
bin_7_acI-B2.genome.CDS.2834,group11758
bin_7_acI-B2.genome.CDS.2835,group00885
bin_7_acI-B2.genome.CDS.2832,group00082
bin_7_acI-B2.genome.CDS.2833,group00063
bin_7_acI-B2.genome.CDS.2830,group00129
bin_7_acI-B2.genome.CDS.3418,group00207
bin_7_acI-B2.genome.CDS.3417,group00656
bin_7_acI-B2.genome.CDS.3416,group00980
bin_7_acI-B2.genome.CDS.3415,group06264
bin_7_acI-B2.genome.CDS.3414,group00754
bin_7_acI-B2.genome.CDS.3413,group00315
bin_7_acI-B2.genome.CDS.3412,group00359
bin_7_acI-B2.genome.CDS.2838,group02999
bin_7_acI-B2.genome.CDS.2839,group00297
bin_7_acI-B2.genome.CDS.1127,group00841
bin_7_acI-B2.genome.CDS.1129,group07897
bin_7_acI-B2.genome.CDS.1128,group14060
bin_7_acI-B2.genome.CDS.4038,group00517
bin_7_acI-B2.genome.CDS.4039,group01049
bin_7_acI-B2.genome.CDS.4034,group01508
bin_7_acI-B2.genome.CDS.4035,group10262
bin_7_acI-B2.genome.CDS.4036,group02240
bin_7_acI-B2.genome.CDS.4037,group01390
bin_7_acI-B2.genome.CDS.4030,group02239
bin_7_acI-B2.genome.CDS.4031,group02785
bin_7_acI-B2.genome.CDS.4032,group12504
bin_7_acI-B2.genome.CDS.4033,group01841
bin_7_acI-B2.genome.CDS.3981,group00471
bin_7_acI-B2.genome.CDS.3980,group00450
bin_7_acI-B2.genome.CDS.3983,group00615
bin_7_acI-B2.genome.CDS.3985,group03682
bin_7_acI-B2.genome.CDS.3984,group00953
bin_7_acI-B2.genome.CDS.3987,group00790
bin_7_acI-B2.genome.CDS.3986,group00784
bin_7_acI-B2.genome.CDS.3989,group13880
bin_7_acI-B2.genome.CDS.3969,group00394
bin_7_acI-B2.genome.CDS.3968,group00425
bin_7_acI-B2.genome.CDS.3967,group00202
bin_7_acI-B2.genome.CDS.3966,group00306
bin_7_acI-B2.genome.CDS.3965,group00284
bin_7_acI-B2.genome.CDS.3964,group00380
bin_7_acI-B2.genome.CDS.3963,group01000
bin_7_acI-B2.genome.CDS.3962,group00363
bin_7_acI-B2.genome.CDS.3961,group00545
bin_7_acI-B2.genome.CDS.3960,group00621
bin_7_acI-B2.genome.CDS.3506,group00090
bin_7_acI-B2.genome.CDS.2160,group10262
bin_7_acI-B2.genome.CDS.2161,group02240
bin_7_acI-B2.genome.CDS.2162,group01390
bin_7_acI-B2.genome.CDS.2163,group00517
bin_7_acI-B2.genome.CDS.2164,group01049
bin_7_acI-B2.genome.CDS.2165,group01305
bin_7_acI-B2.genome.CDS.2166,group00046
bin_7_acI-B2.genome.CDS.2167,group00053
bin_7_acI-B2.genome.CDS.2168,group00090
bin_7_acI-B2.genome.CDS.2169,group10919
bin_7_acI-B2.genome.CDS.2229,group02256
bin_7_acI-B2.genome.CDS.2228,group04592
bin_7_acI-B2.genome.CDS.2223,group10542
bin_7_acI-B2.genome.CDS.2222,group07324
bin_7_acI-B2.genome.CDS.2221,group10962
bin_7_acI-B2.genome.CDS.2220,group02128
bin_7_acI-B2.genome.CDS.2227,group00438
bin_7_acI-B2.genome.CDS.2225,group08852
bin_7_acI-B2.genome.CDS.2224,group00224
bin_7_acI-B2.genome.CDS.3365,group00834
bin_7_acI-B2.genome.CDS.3364,group01437
bin_7_acI-B2.genome.CDS.3367,group01055
bin_7_acI-B2.genome.CDS.3366,group12412
bin_7_acI-B2.genome.CDS.3361,group00036
bin_7_acI-B2.genome.CDS.3360,group00282
bin_7_acI-B2.genome.CDS.3363,group01796
bin_7_acI-B2.genome.CDS.3362,group01646
bin_7_acI-B2.genome.CDS.3369,group00537
bin_7_acI-B2.genome.CDS.3368,group12009
bin_7_acI-B2.genome.CDS.2591,group13668
bin_7_acI-B2.genome.CDS.2590,group01384
bin_7_acI-B2.genome.CDS.2593,group06219
bin_7_acI-B2.genome.CDS.2592,group01405
bin_7_acI-B2.genome.CDS.2595,group01327
bin_7_acI-B2.genome.CDS.2594,group05516
bin_7_acI-B2.genome.CDS.2597,group00294
bin_7_acI-B2.genome.CDS.2596,group09715
bin_7_acI-B2.genome.CDS.2599,group05756
bin_7_acI-B2.genome.CDS.2598,group07495
bin_7_acI-B2.genome.CDS.304,group00884
bin_7_acI-B2.genome.CDS.769,group05748
bin_7_acI-B2.genome.CDS.2357,group04350
bin_7_acI-B2.genome.CDS.2356,group03087
bin_7_acI-B2.genome.CDS.2355,group02194
bin_7_acI-B2.genome.CDS.2354,group01319
bin_7_acI-B2.genome.CDS.2353,group00658
bin_7_acI-B2.genome.CDS.2352,group00349
bin_7_acI-B2.genome.CDS.2351,group03809
bin_7_acI-B2.genome.CDS.2350,group00698
bin_7_acI-B2.genome.CDS.1802,group05250
bin_7_acI-B2.genome.CDS.1800,group00256
bin_7_acI-B2.genome.CDS.2358,group06448
bin_7_acI-B2.genome.CDS.3776,group04130
bin_7_acI-B2.genome.CDS.3777,group03476
bin_7_acI-B2.genome.CDS.3774,group12935
bin_7_acI-B2.genome.CDS.3775,group06732
bin_7_acI-B2.genome.CDS.3772,group12427
bin_7_acI-B2.genome.CDS.3773,group06732
bin_7_acI-B2.genome.CDS.3770,group00943
bin_7_acI-B2.genome.CDS.3771,group03422
bin_7_acI-B2.genome.CDS.2685,group00221
bin_7_acI-B2.genome.CDS.2684,group00140
bin_7_acI-B2.genome.CDS.2687,group00713
bin_7_acI-B2.genome.CDS.2686,group00152
bin_7_acI-B2.genome.CDS.2681,group00795
bin_7_acI-B2.genome.CDS.2680,group00038
bin_7_acI-B2.genome.CDS.2683,group00026
bin_7_acI-B2.genome.CDS.3779,group12411
bin_7_acI-B2.genome.CDS.413,group05052
bin_7_acI-B2.genome.CDS.2887,group08886
bin_7_acI-B2.genome.CDS.1201,group00091
bin_7_acI-B2.genome.CDS.1202,group00175
bin_7_acI-B2.genome.CDS.1203,group00175
bin_7_acI-B2.genome.CDS.3174,group00324
bin_7_acI-B2.genome.CDS.3175,group00563
bin_7_acI-B2.genome.CDS.3177,group00714
bin_7_acI-B2.genome.CDS.3170,group04916
bin_7_acI-B2.genome.CDS.3171,group13991
bin_7_acI-B2.genome.CDS.3172,group00684
bin_7_acI-B2.genome.CDS.3173,group00708
bin_7_acI-B2.genome.CDS.3179,group00963
bin_7_acI-B2.genome.CDS.3080,group00188
bin_7_acI-B2.genome.CDS.3081,group13972
bin_7_acI-B2.genome.CDS.3082,group00192
bin_7_acI-B2.genome.CDS.3083,group00171
bin_7_acI-B2.genome.CDS.3084,group09135
bin_7_acI-B2.genome.CDS.3085,group08886
bin_7_acI-B2.genome.CDS.3086,group00273
bin_7_acI-B2.genome.CDS.2578,group00173
bin_7_acI-B2.genome.CDS.3088,group07849
bin_7_acI-B2.genome.CDS.2576,group11853
bin_7_acI-B2.genome.CDS.2575,group10288
bin_7_acI-B2.genome.CDS.2574,group00013
bin_7_acI-B2.genome.CDS.2573,group00356
bin_7_acI-B2.genome.CDS.2572,group13632
bin_7_acI-B2.genome.CDS.2571,group05080
bin_7_acI-B2.genome.CDS.2570,group10963
bin_7_acI-B2.genome.CDS.2779,group01005
bin_7_acI-B2.genome.CDS.2778,group00201
bin_7_acI-B2.genome.CDS.2771,group00322
bin_7_acI-B2.genome.CDS.2770,group00237
bin_7_acI-B2.genome.CDS.2773,group00944
bin_7_acI-B2.genome.CDS.2772,group00279
bin_7_acI-B2.genome.CDS.2775,group03575
bin_7_acI-B2.genome.CDS.2774,group13099
bin_7_acI-B2.genome.CDS.2777,group03373
bin_7_acI-B2.genome.CDS.2776,group00478
bin_7_acI-B2.genome.CDS.3798,group01665
bin_7_acI-B2.genome.CDS.3799,group06508
bin_7_acI-B2.genome.CDS.3794,group00536
bin_7_acI-B2.genome.CDS.3795,group02175
bin_7_acI-B2.genome.CDS.3796,group01859
bin_7_acI-B2.genome.CDS.3797,group01853
bin_7_acI-B2.genome.CDS.3790,group02772
bin_7_acI-B2.genome.CDS.3791,group02335
bin_7_acI-B2.genome.CDS.3792,group01549
bin_7_acI-B2.genome.CDS.3793,group01421
bin_7_acI-B2.genome.CDS.3558,group00605
bin_7_acI-B2.genome.CDS.3559,group01589
bin_7_acI-B2.genome.CDS.3556,group00573
bin_7_acI-B2.genome.CDS.3557,group00667
bin_7_acI-B2.genome.CDS.3554,group00438
bin_7_acI-B2.genome.CDS.3555,group00864
bin_7_acI-B2.genome.CDS.3552,group05476
bin_7_acI-B2.genome.CDS.3553,group00216
bin_7_acI-B2.genome.CDS.3550,group00215
bin_7_acI-B2.genome.CDS.3551,group00280
bin_7_acI-B2.genome.CDS.4063,group02890
bin_7_acI-B2.genome.CDS.4062,group01392
bin_7_acI-B2.genome.CDS.2953,group12504
bin_7_acI-B2.genome.CDS.4060,group03968
bin_7_acI-B2.genome.CDS.4067,group03197
bin_7_acI-B2.genome.CDS.2821,group03688
bin_7_acI-B2.genome.CDS.2820,group03088
bin_7_acI-B2.genome.CDS.3428,group00782
bin_7_acI-B2.genome.CDS.2822,group05707
bin_7_acI-B2.genome.CDS.2825,group02887
bin_7_acI-B2.genome.CDS.2957,group02240
bin_7_acI-B2.genome.CDS.2827,group00005
bin_7_acI-B2.genome.CDS.2826,group02773
bin_7_acI-B2.genome.CDS.3422,group00722
bin_7_acI-B2.genome.CDS.3423,group00697
bin_7_acI-B2.genome.CDS.3420,group05325
bin_7_acI-B2.genome.CDS.2956,group10262
bin_7_acI-B2.genome.CDS.3426,group01262
bin_7_acI-B2.genome.CDS.3427,group00155
bin_7_acI-B2.genome.CDS.3424,group05343
bin_7_acI-B2.genome.CDS.3425,group00127
bin_7_acI-B2.genome.CDS.3419,group00877
bin_7_acI-B2.genome.CDS.2919,group02645
bin_7_acI-B2.genome.CDS.2918,group00943
bin_7_acI-B2.genome.CDS.4029,group07826
bin_7_acI-B2.genome.CDS.4028,group03691
bin_7_acI-B2.genome.CDS.4027,group01949
bin_7_acI-B2.genome.CDS.4026,group02884
bin_7_acI-B2.genome.CDS.4025,group02083
bin_7_acI-B2.genome.CDS.2916,group08440
bin_7_acI-B2.genome.CDS.2911,group13503
bin_7_acI-B2.genome.CDS.2910,group07788
bin_7_acI-B2.genome.CDS.4021,group02245
bin_7_acI-B2.genome.CDS.2912,group09553
bin_7_acI-B2.genome.CDS.3958,group00489
bin_7_acI-B2.genome.CDS.3959,group01178
bin_7_acI-B2.genome.CDS.3952,group01901
bin_7_acI-B2.genome.CDS.3953,group00740
bin_7_acI-B2.genome.CDS.3950,group01514
bin_7_acI-B2.genome.CDS.3951,group01761
bin_7_acI-B2.genome.CDS.3956,group01648
bin_7_acI-B2.genome.CDS.3957,group00357
bin_7_acI-B2.genome.CDS.3954,group12310
bin_7_acI-B2.genome.CDS.3955,group04794
bin_7_acI-B2.genome.CDS.3888,group13402
bin_7_acI-B2.genome.CDS.3889,group04306
bin_7_acI-B2.genome.CDS.3880,group04672
bin_7_acI-B2.genome.CDS.3881,group08365
bin_7_acI-B2.genome.CDS.3882,group02600
bin_7_acI-B2.genome.CDS.3883,group08525
bin_7_acI-B2.genome.CDS.3884,group10496
bin_7_acI-B2.genome.CDS.3885,group09948
bin_7_acI-B2.genome.CDS.3886,group02677
bin_7_acI-B2.genome.CDS.3887,group02793
bin_7_acI-B2.genome.CDS.2173,group01038
bin_7_acI-B2.genome.CDS.2172,group02834
bin_7_acI-B2.genome.CDS.2171,group00265
bin_7_acI-B2.genome.CDS.2170,group03769
bin_7_acI-B2.genome.CDS.2177,group00563
bin_7_acI-B2.genome.CDS.2175,group00714
bin_7_acI-B2.genome.CDS.2174,group00647
bin_7_acI-B2.genome.CDS.2179,group00708
bin_7_acI-B2.genome.CDS.2178,group00324
bin_7_acI-B2.genome.CDS.2216,group07032
bin_7_acI-B2.genome.CDS.2217,group08680
bin_7_acI-B2.genome.CDS.2214,group00458
bin_7_acI-B2.genome.CDS.2215,group00753
bin_7_acI-B2.genome.CDS.2212,group01181
bin_7_acI-B2.genome.CDS.2213,group03271
bin_7_acI-B2.genome.CDS.2210,group00796
bin_7_acI-B2.genome.CDS.2211,group13892
bin_7_acI-B2.genome.CDS.3700,group13085
bin_7_acI-B2.genome.CDS.1920,group09239
bin_7_acI-B2.genome.CDS.2218,group02085
bin_7_acI-B2.genome.CDS.2219,group02086
bin_7_acI-B2.genome.CDS.3310,group01389
bin_7_acI-B2.genome.CDS.3311,group00959
bin_7_acI-B2.genome.CDS.3312,group00353
bin_7_acI-B2.genome.CDS.3313,group02375
bin_7_acI-B2.genome.CDS.3314,group00805
bin_7_acI-B2.genome.CDS.3709,group00585
bin_7_acI-B2.genome.CDS.3316,group00406
bin_7_acI-B2.genome.CDS.3317,group00696
bin_7_acI-B2.genome.CDS.3318,group00721
bin_7_acI-B2.genome.CDS.3319,group00417
bin_7_acI-B2.genome.CDS.2651,group03266
bin_7_acI-B2.genome.CDS.311,group13902
bin_7_acI-B2.genome.CDS.318,group13901
bin_7_acI-B2.genome.CDS.773,group13939
bin_7_acI-B2.genome.CDS.778,group00151
bin_7_acI-B2.genome.CDS.2362,group00630
bin_7_acI-B2.genome.CDS.2363,group00485
bin_7_acI-B2.genome.CDS.2360,group00591
bin_7_acI-B2.genome.CDS.2361,group03193
bin_7_acI-B2.genome.CDS.2366,group00457
bin_7_acI-B2.genome.CDS.3229,group00113
bin_7_acI-B2.genome.CDS.2364,group10155
bin_7_acI-B2.genome.CDS.2365,group00571
bin_7_acI-B2.genome.CDS.3224,group00855
bin_7_acI-B2.genome.CDS.3225,group01726
bin_7_acI-B2.genome.CDS.2368,group05277
bin_7_acI-B2.genome.CDS.2369,group00047
bin_7_acI-B2.genome.CDS.3220,group00135
bin_7_acI-B2.genome.CDS.3221,group00649
bin_7_acI-B2.genome.CDS.3222,group00234
bin_7_acI-B2.genome.CDS.3223,group00878
bin_7_acI-B2.genome.CDS.3761,group01013
bin_7_acI-B2.genome.CDS.3760,group07129
bin_7_acI-B2.genome.CDS.3763,group01495
bin_7_acI-B2.genome.CDS.3762,group00731
bin_7_acI-B2.genome.CDS.3765,group03939
bin_7_acI-B2.genome.CDS.3764,group01307
bin_7_acI-B2.genome.CDS.3767,group03866
bin_7_acI-B2.genome.CDS.3766,group07541
bin_7_acI-B2.genome.CDS.3769,group13501
bin_7_acI-B2.genome.CDS.3768,group02236
bin_7_acI-B2.genome.CDS.168,group00759
bin_7_acI-B2.genome.CDS.955,group03050
bin_7_acI-B2.genome.CDS.3167,group12281
bin_7_acI-B2.genome.CDS.3166,group00991
bin_7_acI-B2.genome.CDS.3165,group12547
bin_7_acI-B2.genome.CDS.3164,group00968
bin_7_acI-B2.genome.CDS.3163,group00969
bin_7_acI-B2.genome.CDS.3162,group00972
bin_7_acI-B2.genome.CDS.3161,group00927
bin_7_acI-B2.genome.CDS.3160,group01020
bin_7_acI-B2.genome.CDS.3169,group00391
bin_7_acI-B2.genome.CDS.3168,group00589
bin_7_acI-B2.genome.CDS.3101,group09564
bin_7_acI-B2.genome.CDS.3100,group00681
bin_7_acI-B2.genome.CDS.3093,group04032
bin_7_acI-B2.genome.CDS.3092,group00650
bin_7_acI-B2.genome.CDS.3091,group01083
bin_7_acI-B2.genome.CDS.2549,group00629
bin_7_acI-B2.genome.CDS.3097,group01057
bin_7_acI-B2.genome.CDS.3096,group04136
bin_7_acI-B2.genome.CDS.3095,group02691
bin_7_acI-B2.genome.CDS.3094,group01343
bin_7_acI-B2.genome.CDS.2542,group00007
bin_7_acI-B2.genome.CDS.2543,group00850
bin_7_acI-B2.genome.CDS.3099,group00629
bin_7_acI-B2.genome.CDS.3098,group03973
bin_7_acI-B2.genome.CDS.2546,group00310
bin_7_acI-B2.genome.CDS.2547,group13924
bin_7_acI-B2.genome.CDS.2544,group00797
bin_7_acI-B2.genome.CDS.2784,group06565
bin_7_acI-B2.genome.CDS.2785,group01795
bin_7_acI-B2.genome.CDS.2786,group01897
bin_7_acI-B2.genome.CDS.2787,group01677
bin_7_acI-B2.genome.CDS.2780,group00096
bin_7_acI-B2.genome.CDS.2781,group00817
bin_7_acI-B2.genome.CDS.2782,group00418
bin_7_acI-B2.genome.CDS.3108,group02603
bin_7_acI-B2.genome.CDS.2788,group09129
bin_7_acI-B2.genome.CDS.2789,group00009
bin_7_acI-B2.genome.CDS.3631,group00321
bin_7_acI-B2.genome.CDS.3630,group00184
bin_7_acI-B2.genome.CDS.3789,group01856
bin_7_acI-B2.genome.CDS.3788,group00796
bin_7_acI-B2.genome.CDS.3787,group08486
bin_7_acI-B2.genome.CDS.3786,group08342
bin_7_acI-B2.genome.CDS.3785,group01375
bin_7_acI-B2.genome.CDS.3784,group05704
bin_7_acI-B2.genome.CDS.3782,group03088
bin_7_acI-B2.genome.CDS.3781,group12416
bin_7_acI-B2.genome.CDS.3549,group00281
bin_7_acI-B2.genome.CDS.3548,group00569
bin_7_acI-B2.genome.CDS.3541,group00039
bin_7_acI-B2.genome.CDS.3540,group00087
bin_7_acI-B2.genome.CDS.3543,group00802
bin_7_acI-B2.genome.CDS.3542,group00947
bin_7_acI-B2.genome.CDS.3545,group03125
bin_7_acI-B2.genome.CDS.3639,group00139
bin_7_acI-B2.genome.CDS.3547,group00177
bin_7_acI-B2.genome.CDS.3546,group00285
bin_7_acI-B2.genome.CDS.3638,group00058
bin_7_acI-B2.genome.CDS.1321,group01809
bin_7_acI-B2.genome.CDS.1320,group01809
bin_7_acI-B2.genome.CDS.3435,group00898
bin_7_acI-B2.genome.CDS.3434,group13725
bin_7_acI-B2.genome.CDS.3437,group00717
bin_7_acI-B2.genome.CDS.3436,group07311
bin_7_acI-B2.genome.CDS.3431,group08366
bin_7_acI-B2.genome.CDS.3433,group00567
bin_7_acI-B2.genome.CDS.3439,group00040
bin_7_acI-B2.genome.CDS.3438,group01685
bin_7_acI-B2.genome.CDS.1149,group01025
bin_7_acI-B2.genome.CDS.4011,group02073
bin_7_acI-B2.genome.CDS.2968,group00830
bin_7_acI-B2.genome.CDS.2969,group04575
bin_7_acI-B2.genome.CDS.4018,group00687
bin_7_acI-B2.genome.CDS.4019,group02089
bin_7_acI-B2.genome.CDS.2960,group01049
bin_7_acI-B2.genome.CDS.2961,group01305
bin_7_acI-B2.genome.CDS.2962,group00046
bin_7_acI-B2.genome.CDS.2963,group00053
bin_7_acI-B2.genome.CDS.4016,group02109
bin_7_acI-B2.genome.CDS.2965,group00913
bin_7_acI-B2.genome.CDS.2966,group00676
bin_7_acI-B2.genome.CDS.2967,group08765
bin_7_acI-B2.genome.CDS.1926,group00884
bin_7_acI-B2.genome.CDS.2450,group08333
bin_7_acI-B2.genome.CDS.3404,group00620
bin_7_acI-B2.genome.CDS.3945,group03184
bin_7_acI-B2.genome.CDS.3944,group00987
bin_7_acI-B2.genome.CDS.3946,group01092
bin_7_acI-B2.genome.CDS.3941,group10680
bin_7_acI-B2.genome.CDS.3940,group00002
bin_7_acI-B2.genome.CDS.2148,group04105
bin_7_acI-B2.genome.CDS.2149,group07228
bin_7_acI-B2.genome.CDS.2146,group03400
bin_7_acI-B2.genome.CDS.2147,group00342
bin_7_acI-B2.genome.CDS.3949,group07825
bin_7_acI-B2.genome.CDS.3948,group00181
bin_7_acI-B2.genome.CDS.2140,group00339
bin_7_acI-B2.genome.CDS.2141,group00469
bin_7_acI-B2.genome.CDS.3899,group12469
bin_7_acI-B2.genome.CDS.3898,group06920
bin_7_acI-B2.genome.CDS.3893,group12741
bin_7_acI-B2.genome.CDS.3892,group05762
bin_7_acI-B2.genome.CDS.3891,group11703
bin_7_acI-B2.genome.CDS.3890,group07301
bin_7_acI-B2.genome.CDS.3897,group01567
bin_7_acI-B2.genome.CDS.3896,group02280
bin_7_acI-B2.genome.CDS.3895,group02399
bin_7_acI-B2.genome.CDS.3894,group02005
bin_7_acI-B2.genome.CDS.2359,group04233
bin_7_acI-B2.genome.CDS.2201,group00981
bin_7_acI-B2.genome.CDS.2200,group00981
bin_7_acI-B2.genome.CDS.2202,group11210
bin_7_acI-B2.genome.CDS.2205,group00655
bin_7_acI-B2.genome.CDS.2204,group10649
bin_7_acI-B2.genome.CDS.2207,group01440
bin_7_acI-B2.genome.CDS.2206,group13894
bin_7_acI-B2.genome.CDS.2209,group02252
bin_7_acI-B2.genome.CDS.2208,group02336
bin_7_acI-B2.genome.CDS.2689,group00661
bin_7_acI-B2.genome.CDS.2688,group01990
bin_7_acI-B2.genome.CDS.3303,group02883
bin_7_acI-B2.genome.CDS.3302,group11877
bin_7_acI-B2.genome.CDS.3301,group06893
bin_7_acI-B2.genome.CDS.3300,group01055
bin_7_acI-B2.genome.CDS.3307,group02425
bin_7_acI-B2.genome.CDS.3306,group01846
bin_7_acI-B2.genome.CDS.3305,group01513
bin_7_acI-B2.genome.CDS.3304,group03190
bin_7_acI-B2.genome.CDS.3309,group01341
bin_7_acI-B2.genome.CDS.3308,group01754
bin_7_acI-B2.genome.CDS.3440,group00119
bin_7_acI-B2.genome.CDS.2379,group00025
bin_7_acI-B2.genome.CDS.1797,group00772
bin_7_acI-B2.genome.CDS.2377,group07954
bin_7_acI-B2.genome.CDS.2376,group00274
bin_7_acI-B2.genome.CDS.2370,group00066
bin_7_acI-B2.genome.CDS.2373,group00677
bin_7_acI-B2.genome.CDS.2372,group00276
bin_7_acI-B2.genome.CDS.1795,group07711
bin_7_acI-B2.genome.CDS.3778,group03688
bin_7_acI-B2.genome.CDS.2682,group00203
bin_7_acI-B2.genome.CDS.1418,group03153
bin_7_acI-B2.genome.CDS.1415,group01030
bin_7_acI-B2.genome.CDS.3239,group01993
bin_7_acI-B2.genome.CDS.3238,group00691
bin_7_acI-B2.genome.CDS.3237,group00311
bin_7_acI-B2.genome.CDS.3236,group02248
bin_7_acI-B2.genome.CDS.3235,group00671
bin_7_acI-B2.genome.CDS.3234,group01253
bin_7_acI-B2.genome.CDS.3233,group00892
bin_7_acI-B2.genome.CDS.3232,group00728
bin_7_acI-B2.genome.CDS.3231,group00770
bin_7_acI-B2.genome.CDS.3230,group01035
bin_7_acI-B2.genome.CDS.3524,group11216
bin_7_acI-B2.genome.CDS.1412,group13787
bin_7_acI-B2.genome.CDS.320,group01972
bin_7_acI-B2.genome.CDS.3152,group01202
bin_7_acI-B2.genome.CDS.3153,group02420
bin_7_acI-B2.genome.CDS.3150,group00601
bin_7_acI-B2.genome.CDS.3151,group09759
bin_7_acI-B2.genome.CDS.3156,group00267
bin_7_acI-B2.genome.CDS.3157,group00809
bin_7_acI-B2.genome.CDS.3154,group00069
bin_7_acI-B2.genome.CDS.3155,group01056
bin_7_acI-B2.genome.CDS.3158,group00501
bin_7_acI-B2.genome.CDS.3159,group09128
bin_7_acI-B2.genome.CDS.2555,group01057
bin_7_acI-B2.genome.CDS.2554,group06642
bin_7_acI-B2.genome.CDS.2557,group10360
bin_7_acI-B2.genome.CDS.2556,group04449
bin_7_acI-B2.genome.CDS.2551,group01848
bin_7_acI-B2.genome.CDS.2550,group00681
bin_7_acI-B2.genome.CDS.2553,group00670
bin_7_acI-B2.genome.CDS.2552,group01344
bin_7_acI-B2.genome.CDS.2559,group00817
bin_7_acI-B2.genome.CDS.2558,group00298
bin_7_acI-B2.genome.CDS.2797,group00575
bin_7_acI-B2.genome.CDS.2795,group00826
bin_7_acI-B2.genome.CDS.2794,group00637
bin_7_acI-B2.genome.CDS.2793,group05763
bin_7_acI-B2.genome.CDS.2792,group00581
bin_7_acI-B2.genome.CDS.1204,group13996
bin_7_acI-B2.genome.CDS.2790,group00032
bin_7_acI-B2.genome.CDS.2799,group10207
bin_7_acI-B2.genome.CDS.2798,group01714
bin_7_acI-B2.genome.CDS.1796,group08279
bin_7_acI-B2.genome.CDS.3441,group00120
bin_7_acI-B2.genome.CDS.3442,group00335
bin_7_acI-B2.genome.CDS.3443,group00125
bin_7_acI-B2.genome.CDS.3445,group00294
bin_7_acI-B2.genome.CDS.3446,group00041
bin_7_acI-B2.genome.CDS.3448,group00085
bin_7_acI-B2.genome.CDS.3449,group07896
bin_7_acI-B2.genome.CDS.1798,group08149
bin_7_acI-B2.genome.CDS.1799,group00256
bin_7_acI-B2.genome.CDS.1778,group00365
bin_7_acI-B2.genome.CDS.1777,group08709
bin_7_acI-B2.genome.CDS.4005,group02428
bin_7_acI-B2.genome.CDS.4004,group03196
bin_7_acI-B2.genome.CDS.2979,group12774
bin_7_acI-B2.genome.CDS.4006,group00844
bin_7_acI-B2.genome.CDS.4001,group11210
bin_7_acI-B2.genome.CDS.4000,group00981
bin_7_acI-B2.genome.CDS.4003,group10649
bin_7_acI-B2.genome.CDS.4002,group03690
bin_7_acI-B2.genome.CDS.2973,group00180
bin_7_acI-B2.genome.CDS.2972,group00238
bin_7_acI-B2.genome.CDS.2971,group00914
bin_7_acI-B2.genome.CDS.2970,group01022
bin_7_acI-B2.genome.CDS.4009,group02429
bin_7_acI-B2.genome.CDS.4008,group01436
bin_7_acI-B2.genome.CDS.2975,group00531
bin_7_acI-B2.genome.CDS.2974,group00179
bin_7_acI-B2.genome.CDS.4024,group03390
bin_7_acI-B2.genome.CDS.4007,group00437
bin_7_acI-B2.genome.CDS.2978,group02087
bin_7_acI-B2.genome.CDS.4022,group01112
bin_7_acI-B2.genome.CDS.2159,group01508
bin_7_acI-B2.genome.CDS.2158,group01841
bin_7_acI-B2.genome.CDS.3932,group03068
bin_7_acI-B2.genome.CDS.3933,group00858
bin_7_acI-B2.genome.CDS.3934,group00266
bin_7_acI-B2.genome.CDS.3935,group01203
bin_7_acI-B2.genome.CDS.3936,group01393
bin_7_acI-B2.genome.CDS.3937,group00462
bin_7_acI-B2.genome.CDS.3938,group00520
bin_7_acI-B2.genome.CDS.2150,group02083
bin_7_acI-B2.genome.CDS.2153,group01949
bin_7_acI-B2.genome.CDS.2152,group02884
bin_7_acI-B2.genome.CDS.2155,group02239
bin_7_acI-B2.genome.CDS.2154,group11862
bin_7_acI-B2.genome.CDS.2157,group12504
bin_7_acI-B2.genome.CDS.2976,group07221
bin_7_acI-B2.genome.CDS.4020,group09714
bin_7_acI-B2.genome.CDS.3848,group00553
bin_7_acI-B2.genome.CDS.3849,group00633
bin_7_acI-B2.genome.CDS.3338,group00483
bin_7_acI-B2.genome.CDS.3339,group00076
bin_7_acI-B2.genome.CDS.3844,group00679
bin_7_acI-B2.genome.CDS.3845,group01829
bin_7_acI-B2.genome.CDS.3846,group00223
bin_7_acI-B2.genome.CDS.3847,group00240
bin_7_acI-B2.genome.CDS.3332,group00451
bin_7_acI-B2.genome.CDS.3841,group01462
bin_7_acI-B2.genome.CDS.3330,group00835
bin_7_acI-B2.genome.CDS.3331,group00973
bin_7_acI-B2.genome.CDS.2579,group02051
bin_7_acI-B2.genome.CDS.3087,group05878
bin_7_acI-B2.genome.CDS.2577,group01261
bin_7_acI-B2.genome.CDS.3089,group00941
bin_7_acI-B2.genome.CDS.2308,group02887
bin_7_acI-B2.genome.CDS.2309,group02773
bin_7_acI-B2.genome.CDS.2300,group00940
