Compound	Name	Formula	Mass	KEGG maps	KEGG CID
cpd10936	7-Hydroxy-3,4-dichlorodibenzofuran,<br>6,7-Dichloro-3-dibenzofuranol	C12H6O2Cl2	252	None	C15245
cpd10937	9-Hydroxy-3,4-dichlorodibenzofuran,<br>6,7-Dichloro-1-dibenzofuranol	C12H6O2Cl2	252	None	C15246
cpd10938	9-Hydroxy-2,6-dichlorodibenzofuran,<br>4,8-Dichloro-1-dibenzofuranol	C12H6O2Cl2	252	None	C15247
cpd10939	4-Hydroxy-2&#39;,3,5,5&#39;-tetrachlorobiphenyl,<br>2&#39;,3,5,5&#39;-Tetrachloro-4-biphenylol	C12H5OCl4	305	None	C15248
cpd10940	2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1- carboxylic acid	C13H12NO3Cl2	300	None	C15249
cpd10941	3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea,<br>Hydroxylinuron	C8H8N2O2Cl2	234	None	C15250
cpd10942	3-Aza-A-homocholest-4a-en-4-one	C27H45NO	399	None	C15251
cpd10943	17beta-Hydroxy-4alpha-methyl-5alpha-androstan-3-one,<br>4,5alpha-Dihydro-4alpha-methyltestosterone	C20H32O2	304	None	C15252
cpd10944	16beta-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate,<br>16beta-Fluorotestosterone propionate	C22H31O3F	362	None	C15253
cpd10945	3-(Allyloxy)estra-1,3,5(10)-triene-16alpha,17beta-diol,<br>3-(2-Propenyloxy)estra-1,3,5(10)-triene-16alpha,17beta-diol,<br>3-Allyloxyestriol	C21H28O3	328	None	C15254
cpd10946	1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol	C19H24O2	284	None	C15255
cpd10947	6alpha-Fluoro-17-hydroxycorticosterone 21-acetate,<br>6alpha-Fluoro-11beta,17,21-trihydroxypregn-4-ene-3,20-dione 21-acetate	C23H31O6F	422	None	C15256
cpd10948	17beta-Hydroxyestr-5(10)-en-3-one,<br>Prenortestosterone	C18H26O2	274	None	C15257
cpd10949	17beta-Hydroxy-2alpha-methylestr-4-en-3-one,<br>2alpha-Methyl-19-nortestosterone	C19H28O2	288	None	C15258
cpd10950	17beta-Hydroxy-2alpha,17-dimethylestr-4-en-3-one,<br>2alpha,17-Dimethyl-19-nortestosterone	C20H30O2	302	None	C15259
cpd10951	5beta-Pregn-11-ene-3,20-dione	C21H30O2	314	None	C15260
cpd10952	Estra-1,3,5(10)-triene-3,16beta-diol,<br>16beta-Estradiol	C18H24O2	272	None	C15261
cpd10953	3-Methoxyestra-1,3,5(10)-trien-16beta-ol,<br>16beta-Estradiol-3-methyl ether	C20H28O	284	None	C15262
cpd10954	A-Norpregn-3(5)-ene-2,20-dione,<br>A-Norprogesterone	C20H28O2	300	None	C15263
cpd10955	17beta-Hydroxy-5alpha-androstane acetate,<br>17beta-Acetoxy-5alpha-androstane	C21H34O2	318	None	C15264
cpd10956	16beta-Methylpregn-4-ene-3,20-dione,<br>16beta-Methylprogesterone	C22H32O2	328	None	C15265
cpd10957	17abeta-Hydroxy-D-homoandrost-4-en-3-one propionate,<br>D-Homotestosterone propionate	C23H34O3	358	None	C15266
cpd10958	(17Z)-3,11-Dioxopregna-4,17(20)-dien-21-oic acid methyl ester	C22H28O4	356	None	C15267
cpd10959	trans-2-(4-Nitrophenyl)-3-phenyloxirane,<br>trans- alpha,alpha&#39;-Epoxy-4-nitrobibenzyl,<br>trans-4-Nitrostilbene oxide	C14H11NO3	241	None	C15268
cpd10960	9-Fluoro-11beta,17,21-trihydroxy-2alpha-methylpregn-4-ene-3,20-dione 21-acetate,<br>9-Fluoro-2alpha-methylcortisol 21-acetate	C24H33O6F	436	None	C15269
cpd10961	Cycloguanil hydrochloride,<br>1-(4-Chlorophenyl)-1,6-dihydro-6,6-dimethyl-1,3,5-triazine-2,4- diamine monohydrochloride	C11H14N5Cl	251	None	C15270
cpd10962	9-Fluoro-2alpha-methylpregn-4-ene-3,11,20-trione,<br>9-Fluoro-2alpha-methyl-11-oxoprogesterone	C22H29O3F	360	None	C15271
cpd10963	3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one diacetate	C25H38O5	418	None	C15272
cpd10964	17beta-Hydroxy-5alpha-androst-1-en-3-one propionate	C22H32O3	344	None	C15273
cpd10965	Allobetulinol,<br>Allobetulin,<br>19beta,28-Epoxy-18alpha-oleanan-3beta-ol	C30H50O2	442	None	C15274
cpd10966	21-Acetoxy-11beta,17-dihydroxy-6alpha-methylpregn-4-ene-3,20-dione,<br>17-Hydroxy-6alpha-methylcorticosterone 21-acetate	C24H34O6	418	None	C15275
cpd10967	2alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one,<br>2alpha-Fluorotestosterone	C19H27O2F	306	None	C15276
cpd10968	3-Hydroxy-19-norpregna-1,3,5(10)-trien-20-one	C20H26O2	298	None	C15277
cpd10969	4,4&#39;-(2-Methylpropylidene)bisphenol,<br>4,4&#39;-isobutylidenediphenol	C16H18O2	242	None	C15278
cpd10970	2-Amino-6-(benzylthio)purine,<br>6-Benzylthioguanine,<br>Benzythioguanine	C12H11N5S	257	None	C15279
cpd10971	16alpha,17-Isopropylidenedioxy-6alpha-methylprogesterone,<br>16alpha,17-Dihydroxy-6alpha-methylpregn-4-ene-3,20-dione cyclic acetal with acetone	C25H36O4	400	None	C15280
cpd10972	17beta-Nitro-5alpha-androstane	C19H31NO2	305	None	C15281
cpd10973	17beta-Hydroxyestr-5(10)-en-3-one acetate,<br>19-Norandrost-5(10)-en-17beta-acetoxy-3-one	C20H28O3	316	None	C15282
cpd10974	17beta-Hydroxy-5alpha-androstan-3-one cyclohexanecarboxylate	C26H40O3	400	None	C15283
cpd10975	6beta,17beta-Dihydroxyandrost-4-en-3-one diacetate,<br>6beta-Hydroxytestosterone diacetate	C23H32O5	388	None	C15284
cpd10976	17alpha-Methyl-5alpha-androstane-3beta,11beta,17beta-triol,<br>U6952	C20H34O3	322	None	C15285
cpd10977	4beta,5-Epoxy-17beta-hydroxy-5beta-androstan-3-one,<br>4beta,5beta-Epoxytestosterone	C19H28O3	304	None	C15286
cpd10978	11beta,17beta-Dihydroxy-17alpha-methylandrosta-1,4-dien-3-one	C20H28O3	316	None	C15287
cpd10979	5alpha-Androstane-11beta,17beta-diol	C19H32O2	292	None	C15288
cpd10980	16alpha,17beta-Dihydroxyandrost-4-en-3-one dipropionate	C25H36O5	416	None	C15289
cpd10981	2alpha,17beta-Dihydroxyandrost-4-en-3-one dipropionate,<br>2alpha-Hydroxytestosterone dipropionate	C25H36O5	416	None	C15290
cpd10982	6alpha-Hydroxycortisol,<br>6alpha,11beta,17,21-Tetrahydroxypregn-4-ene-3,20-dione	C21H30O6	378	None	C15291
cpd10983	A-Nor-5alpha-cholestan-2-one	C26H44O	372	None	C15292
cpd10984	17beta-Hydroxyandrosta-4,9(11)-dien-3-one,<br>9(11)-Dehydrotestosterone	C19H26O2	286	None	C15293
cpd10985	N-Methylindolo[3,2-b]-5alpha-cholest-2-ene,<br>1&#39;-Methyl-1&#39;H-5alpha-cholest-2-eno[3,2-b]indole	C34H51N	473	None	C15294
cpd10986	17beta-Hydroxy-3-methoxyestra-1,3,5(10)-trien-16-one,<br>16-Oxoestradiol 3-methyl ether	C19H24O3	300	None	C15295
cpd10987	4,4&#39;-Dinitrostilbene	C14H10N2O4	270	None	C15296
cpd10988	2,4-Dinitro-1-(3-nitrophenoxy)benzene,<br>2,4-Dinitro-3&#39;-nitrodiphenyl ether	C12H7N3O7	305	None	C15297
cpd10989	5alpha-Androstan-2-en-17beta-ol,<br>17beta-Hydroxy-5alpha-androst-2-ene	C19H30O	274	None	C15298
cpd10990	7alpha-Methyl-4-pregnene-3,20-dione,<br>7alpha-Methylprogesterone	C22H32O2	328	None	C15299
cpd10991	Spiro[benzofuran-2(3H),1&#39;-[2]cyclohexene]-7-chloro-4,6-dimethoxy-6&#39;- methyl-2&#39;-(methylthio)-3,4&#39;-dione	C17H17O5SCl	368	None	C15300
cpd10992	2alpha-Methylpregn-4-ene-3,11,20-trione,<br>2alpha-Methyl-11-oxoprogesterone	C22H30O3	342	None	C15301
cpd10993	11beta,17,21-Trihydroxy-2alpha-methylpregn-4-ene-3,20-dione 21-acetate,<br>17-Hydroxy-2alpha-methylcorticosterone 21-acetate,<br>2alpha-Methylcortisol acetate	C24H34O6	418	None	C15302
cpd10994	(Z)-11beta,21-Dihydroxypregna-1,4,17(20)-trien-3-one	C21H28O3	328	None	C15303
cpd10995	3beta,19-Dihydroxyandrost-5-en-17-one 3-acetate,<br>3beta-Acetoxy-19-hydroxyandrost-5-en-17-one	C21H30O4	346	None	C15304
cpd10996	9-Chloro-11beta,17,21-trihydroxypregn-4-ene-3,20-dione 21-acetate,<br>9-Chloro-17-hydroxycorticosterone 21-acetate,<br>9alpha-Chlorocortisol acetate	C23H31O6Cl	438	None	C15305
cpd10997	11alpha,17beta-Dihydroxyandrost-4-en-3-one,<br>11alpha-Hydroxytestosterone	C19H28O3	304	None	C15306
cpd10998	17beta-Hydroxy-7alpha-methylandrost-1,4-diene-3-one,<br>1-Dehydro-7alpha-methyltestosterone	C20H28O2	300	None	C15307
cpd10999	3-Hydroxy-1-methylestra-1,3,5(10),6-tetraen-17-one,<br>1-Methyl-6-dehydroestrone	C19H22O2	282	None	C15308
cpd11000	17,21-Epoxy-9-fluoro-11beta-hydroxypregn-4-ene-3,20-dione,<br>17,21-Epoxy-9-fluoro-11beta-hydroxyprogesterone	C21H27O4F	362	None	C15309
cpd11001	6alpha-Fluoro-17-hydroxypregn-4-ene-3,20-dione acetate	C23H31O4F	390	None	C15310
cpd11002	N,N-Bis(2-chloroethyl)-DL-alanine hydrochloride	C7H12NO2Cl2	212	None	C15311
cpd11003	9alpha-Fluoro-11beta-hydroxy-4-pregnene-3,20-dione,<br>11beta-Hydroxy-9alpha-fluoroprogesterone	C21H29O3F	348	None	C15312
cpd11004	3,17beta-Diacetoxyestra-1,3,5(10)-trien-6-one,<br>3,17beta-Dihydroxyestra-1,3,5(10)-trien-6-one diacetate,<br>6-Oxo-17beta-estradiol diacetate	C22H26O5	370	None	C15313
cpd11005	11beta,17beta-Dihydroxyandrost-4-en-3-one 17-propionate,<br>11beta-Hydroxytestosterone 17-propionate	C22H32O4	360	None	C15314
cpd11006	1-Methylestra-1,3,5(10)-triene-3,17beta-diol,<br>1-Methylestradiol	C19H26O2	286	None	C15315
cpd11007	5alpha-Androstane-2alpha-methyl-17beta-ol	C20H34O	290	None	C15316
cpd11008	9-Fluoro-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione	C22H31O3F	362	None	C15317
cpd11009	17abeta-Hydroxy-D-homoandrost-4-en-3-one,<br>D-Homotestosterone	C20H30O2	302	None	C15318
cpd11010	9alpha-Fluoro-11beta,17alpha,21-trihydroxy-6alpha-methylpregna-1,4- diene-3,20-dione,<br>9alpha-Fluoro-6alpha-methylprednisolone	C22H29O5F	392	None	C15319
cpd11011	21-Fluoro-11beta,17-dihydroxy-6alpha-methylpregn-4-ene-3,20-dione,<br>21-Fluoro-11beta,17-dihydroxy-6alpha-methylprogesterone	C22H31O4F	378	None	C15320
cpd11012	6alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate,<br>6alpha-Fluorotestosterone propionate	C22H31O3F	362	None	C15321
cpd11013	2alpha,3alpha-(Difluoromethylene)-5alpha-androstan-17beta-ol acetate	C22H32O2F2	366	None	C15322
cpd11014	3-Hydroxy-1-methylestra-1,3,5(10)-trien-17-one,<br>1-Methylestrone	C19H24O2	284	None	C15323
cpd11015	Androst-4-ene-3beta,17beta-diol diacetate,<br>3beta,17beta-Diacetoxyandrost-4-ene	C23H34O4	374	None	C15324
cpd11016	6-Azaequilenin,<br>3-Hydroxy-6-azaestra-1,3,5(10),6,8-pentaen-17-one	C17H17NO2	267	None	C15325
cpd11017	17beta-Hydroxy-2alpha-methyl-5alpha-estran-3-one	C19H30O2	290	None	C15326
cpd11018	6alpha-Fluoropregn-4-ene-3,11,20-trione,<br>6alpha-Fluoro-11-oxoprogesterone	C21H27O3F	346	None	C15327
cpd11019	N,N-Diethyl-2-[4-[6-methoxy-2-(4-methoxyphenyl)-1H-inden-3- yl]phenoxy]ethanamine hydrochloride	C29H33NO3	443	None	C15328
cpd11020	21-Fluoro-11beta,17-dihydroxy-6alpha-methylpregna-1,4-diene-3,20- dione	C22H29O4F	376	None	C15329
cpd11021	3beta-Fluoro-5alpha-androstan-17beta-ol	C19H31OF	294	None	C15330
cpd11022	17beta-Hydroxy-6beta-methyl-5alpha-androstan-3-one propionate,<br>4,5alpha-Dihydro-6beta-methyltestosterone propionate	C23H36O3	360	None	C15331
cpd11023	3beta-Hydroxy-5alpha-androstane-7,17-dione	C19H28O3	304	None	C15332
cpd11024	3alpha-Hydroxy-5beta-pregn-16-ene-11,20-dione 3-acetate	C23H32O4	372	None	C15333
cpd11025	17beta-Hydroxy-4,4-dimethylandrost-5-en-3-one	C21H32O2	316	None	C15334
cpd11026	3beta-Hydroxy-5-androsten-16-one,<br>5-Androsten-3beta-ol-16-one	C19H28O2	288	None	C15335
cpd11027	3beta,4-Dimethyl-4-aza-5alpha-cholestane	C28H51N	401	None	C15336
cpd11028	3beta-Hydroxycholest-4-ene,<br>Allocholesterol	C27H46O	386	None	C15337
cpd11029	11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5alpha- androstan-3-one	C20H31O3F	338	None	C15338
cpd11030	17alpha,2alpha-Dimethyl-17beta-hydroxy-4-androsten-3-one,<br>2alpha,17-Dimethyltestosterone	C21H32O2	316	None	C15339
cpd11031	20,21,21-Trifluoro-3-methoxy-19-nor-17alpha-pregna-1,3,5(10),20- tetraen-17-ol,<br>17-(Trifluorovinyl)-3-(methyl ether)-17beta-estradiol	C21H25O2F3	366	None	C15340
cpd11032	Fluorofelbamate	C11H13N2O4F	256	<a href=&#39;javascript:addTab("07033","Anticonvulsants","keggMapTabs","build_map","pathway=07033&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Anticonvulsants</a>	C15341
cpd11033	17beta-Hydroxy-2alpha,17-dimethyl-4,9(11)-androstadien-3-one,<br>9(11)-Dehydro-2alpha,17-dimethyltestosterone	C21H30O2	314	None	C15342
cpd11034	HR1917,<br>4&#39;,4&#39;&#39;-Di-2-imidazolin-2-yl-2-nitroterephthalanilide dihydrochloride	C26H23N7O4	497	None	C15343
cpd11035	N-Butyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine,<br>NSC4928	C9H13N5	191	None	C15344
cpd11036	3beta-[(Tetrahydro-2H-pyran-2-yl)oxy]androst-5-en-17beta-ol,<br>Androst-5-ene-3beta,17beta-diol 3-tetrahydropyranyl ether	C24H38O3	374	None	C15345
cpd11037	5alpha-Androstane-3beta,17beta-diol diacetate,<br>3beta,17beta-Diacetoxy-5alpha-androstane	C23H36O4	376	None	C15346
cpd11038	6-(Isopropylthio)purine	C8H10N4S	194	None	C15347
cpd11039	6-(Allylthio)purine	C8H8N4S	192	None	C15348
cpd11040	11beta,17beta-Dihydroxy-17-methyl-5alpha-androstan-3-one,<br>4,5alpha-Dihydro-11beta-hydroxy-17-methyltestosterone	C20H32O3	320	None	C15349
cpd11041	Estra-1,3,5(10)-triene-3,16alpha-diol dipropionate	C24H32O4	384	None	C15350
cpd11042	7alpha-Hydroxytestololactone,<br>7alpha-Hydroxy-D-homo-17a-oxaandrost-4-ene-3,17-dione	C19H26O4	318	None	C15351
cpd11043	6-(Dibromomethylene)-17beta-hydroxyandrost-4-en-3-one,<br>6-(Dibromomethylene)testosterone	C20H26O2Br2	458	None	C15352
cpd11044	17alpha-Methyl-17beta-hydroxyandrosta-4,6-dien-3-one,<br>17alpha-Methyl-6,7-dehydrotestosterone	C20H28O2	300	None	C15353
cpd11045	17beta-Hydroxy-17-methyl-5alpha-androstane-3,11-dione	C20H30O3	318	None	C15354
cpd11046	11alpha-Hydroxy-5beta-pregnane-3,20-dione	C21H32O3	332	None	C15355
cpd11047	17beta-Amino-5alpha-androstan-11beta-ol	C19H34NO	292	None	C15356
cpd11048	Cholesta-3,5-dien-7-one	C27H42O	382	None	C15357
cpd11049	4-Chloro-17alpha-methyl-17beta-hydroxy-4-androsten-3-one,<br>4-Chloro-17alpha-methyltestosterone	C20H29O2Cl	336	None	C15358
cpd11050	6-(Dibromomethylene)-17beta-hydroxy-androst-4-en-3-one propionate	C23H30O3Br2	514	None	C15359
cpd11051	Evadol hydrochloride,<br>2-Amino-1,2-bis(p-methoxyphenyl)ethanol hydrochloride,<br>beta-Amino-4-methoxy-alpha-(4-methoxyphenyl)benzeneethanol hydrochloride	C16H19NO3	273	None	C15360
cpd11052	Descinolone,<br>9-Fluoro-11beta,16alpha,17-trihydroxypregna-1,4-diene-3,20-dione	C21H27O5F	378	None	C15361
cpd11053	4-Nitroestrone,<br>3-Hydroxy-4-nitroestra-1,3,5(10)-trien-17-one	C18H20NO4	314	None	C15362
cpd11054	6beta,11alpha-Dihydroxyprogesterone,<br>6beta,11alpha-Dihydroxypregn-4-ene-3,20-dione	C21H30O4	346	None	C15363
cpd11055	15alpha-Hydroxyprogesterone,<br>15alpha-Hydroxypregn-4-ene-3,20-dione	C21H30O3	330	None	C15364
cpd11056	4-Pregnene-16alpha,21-diol-3,20-dione,<br>16alpha,21-Dihydroxypregn-4-ene-3,20-dione	C21H30O4	346	None	C15365
cpd11057	Estrone 16-oxime,<br>3-Hydroxyestra-1,3,5(10)-triene-16,17-dione 16-oxime	C18H21NO3	299	None	C15366
cpd11058	3beta-Methoxyandrost-5-en-16beta-ol	C20H32O2	304	None	C15367
cpd11059	5beta-Pregnane-3alpha,17alpha,20alpha-triol-11-one,<br>Pregnanetriolone,<br>(3alpha,5beta,20S)-3,17,20-Trihydroxypregnan-11-one	C21H34O4	350	None	C15368
cpd11060	9alpha-Fluoro-11beta-hydroxy-2alpha-methyl-4-pregnene-3,20-dione,<br>9alpha-Fluoro-11beta-hydroxy-2alpha-methylprogesterone	C22H31O3F	362	None	C15369
cpd11061	Androsta-5,16-dieno[17,16-b]quinolin-3beta-ol,<br>16,17-(3&#39;,2&#39;-Quinolino)androst-5-en-3beta-ol	C26H31NO	373	None	C15370
cpd11062	9-Bromo-17beta-hydroxy-17-methylandrost-4-ene-3,11-dione	C20H27O3Br	395	None	C15371
cpd11063	11alpha,17beta-dihydroxyandrost-4-en-3-one diacetate,<br>11alpha-Hydroxytestosterone diacetate	C23H32O5	388	None	C15372
cpd11064	5alpha-Androstan-17beta-ol propionate	C22H36O2	332	None	C15373
cpd11065	17beta-Hydroxy-7alpha-methylandrost-4-en-3-one propionate,<br>7alpha-Methyltestosterone propionate	C23H34O3	358	None	C15374
cpd11066	Apocholic acid,<br>3alpha,12alpha-Dihydroxy-5beta-chol-8(14)-en-24-oic acid	C24H37O4	389	None	C15375
cpd11067	17alpha-Methyl-5alpha-androstane-3alpha,17beta-diol	C20H34O2	306	None	C15376
cpd11068	17beta-Hydroxy-5alpha-androst-1-en-3-one	C19H28O2	288	None	C15377
cpd11069	B-Norcholesterol,<br>3beta-Hydroxy-B-norcholest-5-ene	C26H44O	372	None	C15378
cpd11070	3beta-Hydroxylanostane-7,11-dione acetate	C32H52O4	500	None	C15379
cpd11071	9-Fluoro-11beta,16alpha-dihydroxypregn-4-ene-3,20-dione	C21H29O4F	364	None	C15380
cpd11072	6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione,<br>6alpha,9-Difluoro-11beta-hydroxyprogesterone	C21H28O3F2	366	None	C15381
cpd11073	Estra-1,3,5(10)-triene-3,6alpha,17beta-triol triacetate	C24H30O6	414	None	C15382
cpd11074	(5-Phenyl-1,2,4-triazol-3-yl)urea,<br>3-Phenyl-5-ureido-1,2,4-triazole	C9H9N5O	203	None	C15383
cpd11075	12alpha-Hydroxy-5beta-pregnane-3,20-dione	C21H32O3	332	None	C15384
cpd11076	D-Homo-A-nor-17a-oxaandrost-3(5)-ene-2,17-dione,<br>A-Nortestololactone	C18H24O3	288	None	C15385
cpd11077	D-Homo-17a-oxaandrosta-4,6-diene-3,17-dione	C19H24O3	300	None	C15386
cpd11078	1-Dehydro-9-fluoro-11-oxotestololactone	C19H21O4F	332	None	C15387
cpd11079	3-Methoxy-19-nor-17alpha-pregna-1,3,5(10),20-tetraen-17-ol,<br>17-Vinylestradiol 3-methyl ether	C21H28O2	312	None	C15388
cpd11080	4,4&#39;-Stilbenedicarboxamidine dihydrochloride,<br>Stilbamidine dihydrochloride	C16H16N4	264	None	C15389
cpd11081	1alpha,5alpha-Epidithio-17a-oxa-D-homoandrostan-3,17-dione	C19H26O3S2	366	None	C15390
cpd11082	3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one	C21H34O3	334	None	C15391
cpd11083	1-Chloro-4-(2,2-dichloro-1-phenylethyl)benzene,<br>1,1-Dichloro-2-(p-chlorophenyl)-2-phenylethane	C14H11Cl3	284	None	C15392
cpd11084	2-Chlorobenzhydrol	C13H11OCl	218	None	C15393
cpd11085	2,2,2-Trifluoro-N-(6-oxo-6H-dibenzo[b,d]pyran-2-yl)acetamide,<br>6-(2,2,2-Trifluoroacetamide)-3,4-benzocoumarin	C15H8NO3F3	307	None	C15394
cpd11086	17beta-Hydroxy-4-methylestr-4-en-3-one,<br>4-Methyl-19-nortestosterone	C19H28O2	288	None	C15395
cpd11087	3beta-Chloro-5-androsten-17beta-ol	C19H29OCl	308	None	C15396
cpd11088	6-(2-Chloroallylthio)purine	C8H7N4SCl	226	None	C15397
cpd11089	10,13-Dimethyl-11-docosyne-10,13-diol	C24H46O2	366	None	C15398
cpd11090	17-Methyl-5alpha-androstane-11beta,17beta-diol	C20H34O2	306	None	C15399
cpd11091	9-Chloro-11beta,17beta-dihydroxy-17-methylandrost-4-en-3-one,<br>9-Chloro-11beta-hydroxy-17-methyltestosterone	C20H29O3Cl	352	None	C15400
cpd11092	11beta,17beta-Dihydroxy-4,17-dimethylandrost-4-en-3-one,<br>11beta-Hydroxy-4,17-dimethyltestosterone	C21H32O3	332	None	C15401
cpd11093	17beta-Hydroxy-7alpha,17-dimethylandrosta-1,4-dien-3-one,<br>1-Dehydro-7alpha,17-dimethyltestosterone	C21H30O2	314	None	C15402
cpd11094	3alpha,11beta,17alpha-Trihydroxy-5beta-pregnan-20-one,<br>Tetrahydro-21-deoxycortisol	C21H34O4	350	None	C15403
cpd11095	3beta,17-Dihydroxy-5alpha-pregnane-11,20-dione 3-acetate	C23H34O5	390	None	C15404
cpd11096	17beta-Carbomethoxyandrost-5-en-3beta-ol,<br>3beta-Hydroxyandrost-5-ene-17beta-carboxylic acid methyl ester	C21H32O3	332	None	C15405
cpd11097	5alpha-Androst-1-ene-3,11,17-trione	C19H24O3	300	None	C15406
cpd11098	9-Chloro-17beta-hydroxy-17-methylandrost-4-ene-3,11-dione	C20H27O3Cl	350	None	C15407
cpd11099	2alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate,<br>2alpha-Fluorotestosterone propionate	C22H31O3F	362	None	C15408
cpd11100	17beta-Hydroxy-A-norandrost-3(5)-en-2-one propionate	C21H30O3	330	None	C15409
cpd11101	1-(o-Chlorophenyl)-1-(p-chlorophenyl)ethane,<br>1-Chloro-2-[1-(4-chlorophenyl)ethyl]benzene	C14H12Cl2	250	None	C15410
cpd11102	beta-Chloro-alpha-phenylbenzeneethanamine hydrochloride,<br>2-Chloro-1,2-diphenylethylamine hydrochloride	C14H14NCl	231	None	C15411
cpd11103	17beta-Hydroxy-4-methylandrost-4-en-3-one,<br>4-Methyltestosterone	C20H30O2	302	None	C15412
cpd11104	17beta-Hydroxy-4,4,17-trimethylandrost-5-en-3-one	C22H34O2	330	None	C15413
cpd11105	6alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one acetate,<br>6alpha-Fluorotestosterone acetate	C21H29O3F	348	None	C15414
cpd11106	1-Phenyl-5-mercaptotetrazole,<br>1-Phenyltetrazole-5-thiol	C7H6N4S	178	None	C15415
cpd11107	17beta-Hydroxy-5alpha-androstan-3,6-dione,<br>6-Ketodihydrotestosterone	C19H28O3	304	None	C15416
cpd11108	3beta-Hydroxy-5alpha-pregnan-20-one acetate,<br>3beta-Acetoxy-5alpha-pregnan-20-one	C23H36O3	360	None	C15417
cpd11109	5-(alpha-Phenylethyl)semioxamazide,<br>5-(alpha-Methylbenzyl)semioxamazide	C10H13N3O2	207	None	C15418
cpd11110	trans-2-Phenylcyclopropanecarboxylic acid	C10H9O2	161	None	C15419
cpd11111	5alpha-Pregn-2-en-20-one	C21H32O	300	None	C15420
cpd11112	2-Methyl-5alpha-androst-2-en-17beta-ol acetate	C22H34O2	330	None	C15421
cpd11113	2alpha-Methyl-17beta-[(tetrahydro-2H-pyran-2-yl)oxy]-5alpha- androstan-3-one	C25H40O3	388	None	C15422
cpd11114	Androst-4-ene-3alpha,17beta-diol diacetate,<br>3alpha,17beta-Diacetoxyandrost-4-ene	C23H34O4	374	None	C15423
cpd11115	Estra-1,3,5(10)-triene-3,17beta-diol 3-phosphate,<br>Estra-1,3,5(10)-triene-3,17beta-diol 3-(dihydrogen phosphate),<br>17beta-Estradiol 3-phosphate	C18H24O5P	351	None	C15424
cpd11116	21-Hydroxypregn-4-ene-3,20-dione hydrogen succinate,<br>21-(3-Carboxy-1-oxopropoxy)pregn-4-ene-3,20-dione,<br>11-Deoxycorticosterone hydrogen succinate	C25H33O6	429	None	C15425
cpd11117	2,5-Bis[(iodomercuri)methyl]-p-dioxane	C6H10O2I2Hg2	770	None	C15426
cpd11118	2-Amino-1,2-bis(p-chlorophenyl)ethanol	C14H14NOCl2	282	None	C15427
cpd11119	Asiaticoside,<br>Madecassol	C48H78O19	958	None	C15428
cpd11120	17,21-Dihydroxypregn-4-ene-3,11,20-trione 21-(hydrogensuccinate),<br>21-(3-Carboxy-1-oxopropoxy)-17-hydroxypregn-4-ene-3,11,20-trione,<br>Cortisone 21-succinate	C25H31O8	459	None	C15429
cpd11121	3-Hydroxyestra-1,3,5(10)-trien-17-one O-(carboxymethyl)oxime,<br>Estrone 17-O-carboxymethyloxime	C20H24NO4	342	None	C15430
cpd11122	17-Ethynyl-5alpha-androstan-17beta-ol,<br>5alpha,17alpha-Pregn-20-yn-17beta-ol	C21H32O	300	None	C15431
cpd11123	Flurogestone acetate,<br>9alpha-Fluoro-11-hydroxy,17alpha-acetoxyprogesterone,<br>9-Fluoro-11beta,17-dihydroxypregn-4-ene-3,20-dione 17-acetate	C23H31O5F	406	None	C15432
cpd11124	1-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-1H-pyrrole-2,5-dione	C17H9NO4	291	None	C15433
cpd11125	11beta,17beta-Dihydroxy-12alpha-methylandrost-4-en-3-one,<br>11beta-Hydroxy-12alpha-methyltestosterone	C20H30O3	318	None	C15434
cpd11126	Fenbutatin oxide,<br>Bis[tris(2-methyl-2-phenylpropyl)tin]oxide	C60H78OSn2	1052	None	C15435
cpd11127	Didecyldimethylammonium chloride,<br>N-Decyl-N,N-dimethyl-1-decanaminium chloride	Cl	35	None	C15436
cpd11128	1,3,5-Triphenylcyclohexane	C24H24	312	None	C15437
cpd11129	Bis(2-butoxyethyl)phthalate,<br>beta-Butoxyethyl phthalate	C20H30O6	366	None	C15438
cpd11130	2-Methacryloyloxyethyl phenyl phosphate,<br>Phenyl-P	C12H14O6P	285	None	C15439
cpd11131	Estra-1,3,5(10)-triene-3,6beta,17beta-triol triacetate	C24H30O6	414	None	C15440
cpd11132	Cholesteryl linoleate,<br>(Z,Z)-(3beta)-Cholest-5-en-3-ol 9,12-octadecadienoate	C45H76O2	648	None	C15441
