Rhodoluna.genome.CDS.1931,group01871
Rhodoluna.genome.CDS.169,group03308
Rhodoluna.genome.CDS.681,group04095
Rhodoluna.genome.CDS.1418,group00140
Rhodoluna.genome.CDS.1419,group09069
Rhodoluna.genome.CDS.1416,group10043
Rhodoluna.genome.CDS.1417,group04423
Rhodoluna.genome.CDS.1414,group00026
Rhodoluna.genome.CDS.1415,group02482
Rhodoluna.genome.CDS.1412,group00795
Rhodoluna.genome.CDS.1413,group00203
Rhodoluna.genome.CDS.1410,group06724
Rhodoluna.genome.CDS.1411,group06723
Rhodoluna.genome.CDS.2329,group00805
Rhodoluna.genome.CDS.2328,group00486
Rhodoluna.genome.CDS.2325,group02930
Rhodoluna.genome.CDS.2324,group10778
Rhodoluna.genome.CDS.2327,group03673
Rhodoluna.genome.CDS.2326,group01807
Rhodoluna.genome.CDS.2321,group00433
Rhodoluna.genome.CDS.2320,group06669
Rhodoluna.genome.CDS.2323,group00813
Rhodoluna.genome.CDS.2322,group01196
Rhodoluna.genome.CDS.2031,group11729
Rhodoluna.genome.CDS.2030,group06678
Rhodoluna.genome.CDS.2033,group00018
Rhodoluna.genome.CDS.2032,group00483
Rhodoluna.genome.CDS.2035,group00247
Rhodoluna.genome.CDS.2034,group00130
Rhodoluna.genome.CDS.2037,group00020
Rhodoluna.genome.CDS.2036,group04153
Rhodoluna.genome.CDS.2039,group02270
Rhodoluna.genome.CDS.2038,group11178
Rhodoluna.genome.CDS.512,group00923
Rhodoluna.genome.CDS.2255,group00102
Rhodoluna.genome.CDS.2254,group00196
Rhodoluna.genome.CDS.2257,group00041
Rhodoluna.genome.CDS.2256,group00085
Rhodoluna.genome.CDS.2251,group00530
Rhodoluna.genome.CDS.2250,group07129
Rhodoluna.genome.CDS.2253,group00295
Rhodoluna.genome.CDS.2259,group00166
Rhodoluna.genome.CDS.2258,group00294
Rhodoluna.genome.CDS.2413,group12847
Rhodoluna.genome.CDS.2412,group00192
Rhodoluna.genome.CDS.2411,group00246
Rhodoluna.genome.CDS.2410,group00212
Rhodoluna.genome.CDS.2141,group00224
Rhodoluna.genome.CDS.2140,group00031
Rhodoluna.genome.CDS.2415,group06663
Rhodoluna.genome.CDS.2142,group00266
Rhodoluna.genome.CDS.1788,group00380
Rhodoluna.genome.CDS.1789,group00272
Rhodoluna.genome.CDS.1786,group00388
Rhodoluna.genome.CDS.1787,group07405
Rhodoluna.genome.CDS.1784,group00506
Rhodoluna.genome.CDS.1785,group00501
Rhodoluna.genome.CDS.1782,group02274
Rhodoluna.genome.CDS.1783,group00269
Rhodoluna.genome.CDS.2435,group01444
Rhodoluna.genome.CDS.1781,group00119
Rhodoluna.genome.CDS.2436,group01670
Rhodoluna.genome.CDS.2430,group00682
Rhodoluna.genome.CDS.1423,group00822
Rhodoluna.genome.CDS.1422,group08279
Rhodoluna.genome.CDS.1420,group01234
Rhodoluna.genome.CDS.1427,group02079
Rhodoluna.genome.CDS.1426,group02079
Rhodoluna.genome.CDS.1425,group01662
Rhodoluna.genome.CDS.1424,group02124
Rhodoluna.genome.CDS.1429,group02275
Rhodoluna.genome.CDS.1428,group01511
Rhodoluna.genome.CDS.2338,group03520
Rhodoluna.genome.CDS.2339,group02765
Rhodoluna.genome.CDS.2336,group00772
Rhodoluna.genome.CDS.2337,group01930
Rhodoluna.genome.CDS.2334,group04032
Rhodoluna.genome.CDS.2335,group00263
Rhodoluna.genome.CDS.2332,group03295
Rhodoluna.genome.CDS.2333,group01051
Rhodoluna.genome.CDS.2330,group00390
Rhodoluna.genome.CDS.2331,group12774
Rhodoluna.genome.CDS.1338,group06641
Rhodoluna.genome.CDS.2022,group00283
Rhodoluna.genome.CDS.2023,group00693
Rhodoluna.genome.CDS.2020,group12069
Rhodoluna.genome.CDS.2021,group02747
Rhodoluna.genome.CDS.2026,group00884
Rhodoluna.genome.CDS.2027,group00786
Rhodoluna.genome.CDS.2024,group02120
Rhodoluna.genome.CDS.2025,group00790
Rhodoluna.genome.CDS.2028,group00270
Rhodoluna.genome.CDS.2029,group00726
Rhodoluna.genome.CDS.2246,group13085
Rhodoluna.genome.CDS.2247,group12383
Rhodoluna.genome.CDS.2244,group00465
Rhodoluna.genome.CDS.2245,group00008
Rhodoluna.genome.CDS.2242,group00466
Rhodoluna.genome.CDS.2243,group00447
Rhodoluna.genome.CDS.2240,group00589
Rhodoluna.genome.CDS.2241,group00746
Rhodoluna.genome.CDS.44,group06722
Rhodoluna.genome.CDS.2248,group00344
Rhodoluna.genome.CDS.2249,group08976
