bin_29_2_acIII.genome.CDS.3819,group00707
bin_29_2_acIII.genome.CDS.4164,group00368
bin_29_2_acIII.genome.CDS.4165,group07234
bin_29_2_acIII.genome.CDS.4162,group00401
bin_29_2_acIII.genome.CDS.4163,group07235
bin_29_2_acIII.genome.CDS.4160,group00254
bin_29_2_acIII.genome.CDS.4161,group00094
bin_29_2_acIII.genome.CDS.3390,group00537
bin_29_2_acIII.genome.CDS.3391,group02621
bin_29_2_acIII.genome.CDS.3392,group01941
bin_29_2_acIII.genome.CDS.3393,group02878
bin_29_2_acIII.genome.CDS.3394,group04359
bin_29_2_acIII.genome.CDS.3395,group00010
bin_29_2_acIII.genome.CDS.4168,group00078
bin_29_2_acIII.genome.CDS.3397,group01061
bin_29_2_acIII.genome.CDS.4364,group01140
bin_29_2_acIII.genome.CDS.3303,group05639
bin_29_2_acIII.genome.CDS.3886,group07285
bin_29_2_acIII.genome.CDS.3887,group02908
bin_29_2_acIII.genome.CDS.4360,group06819
bin_29_2_acIII.genome.CDS.4361,group01139
bin_29_2_acIII.genome.CDS.4362,group00605
bin_29_2_acIII.genome.CDS.4363,group00660
bin_29_2_acIII.genome.CDS.3660,group07323
bin_29_2_acIII.genome.CDS.3661,group07322
bin_29_2_acIII.genome.CDS.3662,group07321
bin_29_2_acIII.genome.CDS.3663,group07320
bin_29_2_acIII.genome.CDS.3664,group07319
bin_29_2_acIII.genome.CDS.3665,group07318
bin_29_2_acIII.genome.CDS.3666,group00812
bin_29_2_acIII.genome.CDS.3667,group00290
bin_29_2_acIII.genome.CDS.3488,group01556
bin_29_2_acIII.genome.CDS.3248,group04965
bin_29_2_acIII.genome.CDS.4569,group00536
bin_29_2_acIII.genome.CDS.3718,group00526
bin_29_2_acIII.genome.CDS.3719,group00800
bin_29_2_acIII.genome.CDS.2639,group01605
bin_29_2_acIII.genome.CDS.3242,group05314
bin_29_2_acIII.genome.CDS.3243,group06995
bin_29_2_acIII.genome.CDS.3716,group00144
bin_29_2_acIII.genome.CDS.3717,group07313
bin_29_2_acIII.genome.CDS.3246,group02538
bin_29_2_acIII.genome.CDS.4454,group05650
bin_29_2_acIII.genome.CDS.3244,group02539
bin_29_2_acIII.genome.CDS.3713,group00534
bin_29_2_acIII.genome.CDS.4560,group06827
bin_29_2_acIII.genome.CDS.4455,group06846
bin_29_2_acIII.genome.CDS.4100,group02013
bin_29_2_acIII.genome.CDS.4101,group00813
bin_29_2_acIII.genome.CDS.4702,group00225
bin_29_2_acIII.genome.CDS.4703,group00013
bin_29_2_acIII.genome.CDS.4700,group01205
bin_29_2_acIII.genome.CDS.4701,group00240
bin_29_2_acIII.genome.CDS.4706,group06883
bin_29_2_acIII.genome.CDS.4707,group02210
bin_29_2_acIII.genome.CDS.4704,group01017
bin_29_2_acIII.genome.CDS.4705,group00186
bin_29_2_acIII.genome.CDS.4708,group02658
bin_29_2_acIII.genome.CDS.4709,group02525
bin_29_2_acIII.genome.CDS.2630,group00537
bin_29_2_acIII.genome.CDS.4118,group02227
bin_29_2_acIII.genome.CDS.2631,group00167
bin_29_2_acIII.genome.CDS.3484,group00810
bin_29_2_acIII.genome.CDS.4732,group05565
bin_29_2_acIII.genome.CDS.4566,group00435
bin_29_2_acIII.genome.CDS.4109,group04425
bin_29_2_acIII.genome.CDS.3486,group00702
bin_29_2_acIII.genome.CDS.3879,group07290
bin_29_2_acIII.genome.CDS.4459,group00350
bin_29_2_acIII.genome.CDS.4398,group06856
bin_29_2_acIII.genome.CDS.3435,group00804
bin_29_2_acIII.genome.CDS.3342,group00867
bin_29_2_acIII.genome.CDS.4731,group06877
bin_29_2_acIII.genome.CDS.4017,group00175
bin_29_2_acIII.genome.CDS.4014,group00198
bin_29_2_acIII.genome.CDS.4567,group03308
bin_29_2_acIII.genome.CDS.4012,group00148
bin_29_2_acIII.genome.CDS.3341,group00187
bin_29_2_acIII.genome.CDS.4010,group00055
bin_29_2_acIII.genome.CDS.4011,group00092
bin_29_2_acIII.genome.CDS.4456,group00500
bin_29_2_acIII.genome.CDS.4395,group06857
bin_29_2_acIII.genome.CDS.3436,group02684
bin_29_2_acIII.genome.CDS.3874,group04228
bin_29_2_acIII.genome.CDS.3431,group07142
bin_29_2_acIII.genome.CDS.3877,group05642
bin_29_2_acIII.genome.CDS.4426,group02919
bin_29_2_acIII.genome.CDS.3876,group05015
bin_29_2_acIII.genome.CDS.4425,group00849
bin_29_2_acIII.genome.CDS.4730,group02416
bin_29_2_acIII.genome.CDS.3871,group07291
bin_29_2_acIII.genome.CDS.3432,group07141
bin_29_2_acIII.genome.CDS.4457,group05651
bin_29_2_acIII.genome.CDS.4390,group02416
bin_29_2_acIII.genome.CDS.4393,group06858
bin_29_2_acIII.genome.CDS.4388,group06860
bin_29_2_acIII.genome.CDS.3869,group00468
bin_29_2_acIII.genome.CDS.4386,group04655
bin_29_2_acIII.genome.CDS.4387,group01746
bin_29_2_acIII.genome.CDS.3864,group00788
bin_29_2_acIII.genome.CDS.3865,group07292
bin_29_2_acIII.genome.CDS.3862,group00167
bin_29_2_acIII.genome.CDS.3863,group01666
bin_29_2_acIII.genome.CDS.4380,group06862
bin_29_2_acIII.genome.CDS.3861,group07293
bin_29_2_acIII.genome.CDS.3348,group00539
bin_29_2_acIII.genome.CDS.4565,group01945
bin_29_2_acIII.genome.CDS.3026,group02564
bin_29_2_acIII.genome.CDS.2688,group00943
bin_29_2_acIII.genome.CDS.4240,group07226
bin_29_2_acIII.genome.CDS.4528,group01493
bin_29_2_acIII.genome.CDS.4452,group05649
bin_29_2_acIII.genome.CDS.4453,group01932
bin_29_2_acIII.genome.CDS.4210,group03960
bin_29_2_acIII.genome.CDS.4211,group05591
bin_29_2_acIII.genome.CDS.3932,group07272
bin_29_2_acIII.genome.CDS.3933,group00817
bin_29_2_acIII.genome.CDS.3934,group02266
bin_29_2_acIII.genome.CDS.3935,group01192
bin_29_2_acIII.genome.CDS.4451,group06847
bin_29_2_acIII.genome.CDS.3936,group03561
bin_29_2_acIII.genome.CDS.2782,group00580
bin_29_2_acIII.genome.CDS.3937,group07271
bin_29_2_acIII.genome.CDS.4522,group00032
bin_29_2_acIII.genome.CDS.4218,group02827
bin_29_2_acIII.genome.CDS.1538,group01211
bin_29_2_acIII.genome.CDS.4219,group03401
bin_29_2_acIII.genome.CDS.3090,group00549
bin_29_2_acIII.genome.CDS.2666,group07108
bin_29_2_acIII.genome.CDS.4559,group00904
bin_29_2_acIII.genome.CDS.388,group07085
bin_29_2_acIII.genome.CDS.431,group07067
bin_29_2_acIII.genome.CDS.430,group07068
bin_29_2_acIII.genome.CDS.2605,group00569
bin_29_2_acIII.genome.CDS.2924,group04697
bin_29_2_acIII.genome.CDS.4603,group00069
bin_29_2_acIII.genome.CDS.2926,group03865
bin_29_2_acIII.genome.CDS.2927,group07057
bin_29_2_acIII.genome.CDS.2920,group00051
bin_29_2_acIII.genome.CDS.2921,group02673
bin_29_2_acIII.genome.CDS.2430,group06927
bin_29_2_acIII.genome.CDS.2923,group00742
bin_29_2_acIII.genome.CDS.4600,group01850
bin_29_2_acIII.genome.CDS.2929,group00432
bin_29_2_acIII.genome.CDS.650,group07032
bin_29_2_acIII.genome.CDS.2728,group00847
bin_29_2_acIII.genome.CDS.2729,group00226
bin_29_2_acIII.genome.CDS.2722,group00333
bin_29_2_acIII.genome.CDS.2723,group01762
bin_29_2_acIII.genome.CDS.2720,group00550
bin_29_2_acIII.genome.CDS.2721,group07096
bin_29_2_acIII.genome.CDS.2726,group00982
bin_29_2_acIII.genome.CDS.2727,group07095
bin_29_2_acIII.genome.CDS.2724,group01648
bin_29_2_acIII.genome.CDS.4606,group01701
bin_29_2_acIII.genome.CDS.3523,group03300
bin_29_2_acIII.genome.CDS.3522,group07131
bin_29_2_acIII.genome.CDS.3521,group07132
bin_29_2_acIII.genome.CDS.3520,group07133
bin_29_2_acIII.genome.CDS.3527,group02415
bin_29_2_acIII.genome.CDS.3526,group00805
bin_29_2_acIII.genome.CDS.3524,group07130
bin_29_2_acIII.genome.CDS.3529,group00261
bin_29_2_acIII.genome.CDS.3528,group01437
bin_29_2_acIII.genome.CDS.2652,group03228
bin_29_2_acIII.genome.CDS.2653,group00036
bin_29_2_acIII.genome.CDS.3099,group03813
bin_29_2_acIII.genome.CDS.3098,group01082
bin_29_2_acIII.genome.CDS.2656,group01343
bin_29_2_acIII.genome.CDS.2657,group02213
bin_29_2_acIII.genome.CDS.2654,group04843
bin_29_2_acIII.genome.CDS.2655,group01974
bin_29_2_acIII.genome.CDS.3093,group01841
bin_29_2_acIII.genome.CDS.3092,group00001
bin_29_2_acIII.genome.CDS.3091,group00003
bin_29_2_acIII.genome.CDS.2659,group00582
bin_29_2_acIII.genome.CDS.3097,group00795
bin_29_2_acIII.genome.CDS.3096,group00635
bin_29_2_acIII.genome.CDS.3095,group00002
bin_29_2_acIII.genome.CDS.3094,group03814
bin_29_2_acIII.genome.CDS.2766,group01673
bin_29_2_acIII.genome.CDS.4519,group01744
bin_29_2_acIII.genome.CDS.2815,group00945
bin_29_2_acIII.genome.CDS.3238,group05316
bin_29_2_acIII.genome.CDS.2816,group00946
bin_29_2_acIII.genome.CDS.4517,group00502
bin_29_2_acIII.genome.CDS.2765,group00016
bin_29_2_acIII.genome.CDS.3419,group04589
bin_29_2_acIII.genome.CDS.3418,group00292
bin_29_2_acIII.genome.CDS.3417,group00124
bin_29_2_acIII.genome.CDS.3416,group00156
bin_29_2_acIII.genome.CDS.3415,group02810
bin_29_2_acIII.genome.CDS.3414,group03714
bin_29_2_acIII.genome.CDS.3413,group02891
bin_29_2_acIII.genome.CDS.3412,group02227
bin_29_2_acIII.genome.CDS.3411,group06960
bin_29_2_acIII.genome.CDS.3410,group03126
bin_29_2_acIII.genome.CDS.3387,group00432
bin_29_2_acIII.genome.CDS.4174,group00262
bin_29_2_acIII.genome.CDS.4177,group00088
bin_29_2_acIII.genome.CDS.3234,group00153
bin_29_2_acIII.genome.CDS.4171,group02007
bin_29_2_acIII.genome.CDS.4170,group00164
bin_29_2_acIII.genome.CDS.3381,group01792
bin_29_2_acIII.genome.CDS.3380,group00537
bin_29_2_acIII.genome.CDS.3233,group01308
bin_29_2_acIII.genome.CDS.2813,group00738
bin_29_2_acIII.genome.CDS.4179,group01859
bin_29_2_acIII.genome.CDS.4178,group01459
bin_29_2_acIII.genome.CDS.3389,group01567
bin_29_2_acIII.genome.CDS.3232,group00221
bin_29_2_acIII.genome.CDS.4373,group00106
bin_29_2_acIII.genome.CDS.3892,group00242
bin_29_2_acIII.genome.CDS.3675,group00614
bin_29_2_acIII.genome.CDS.4370,group00260
bin_29_2_acIII.genome.CDS.3673,group01075
bin_29_2_acIII.genome.CDS.3896,group00424
bin_29_2_acIII.genome.CDS.3895,group00679
bin_29_2_acIII.genome.CDS.3670,group05259
bin_29_2_acIII.genome.CDS.4379,group03754
bin_29_2_acIII.genome.CDS.4378,group06863
bin_29_2_acIII.genome.CDS.3678,group00377
bin_29_2_acIII.genome.CDS.3259,group01379
bin_29_2_acIII.genome.CDS.4578,group01804
bin_29_2_acIII.genome.CDS.3709,group02700
bin_29_2_acIII.genome.CDS.3708,group00320
bin_29_2_acIII.genome.CDS.3251,group06994
bin_29_2_acIII.genome.CDS.4570,group02282
bin_29_2_acIII.genome.CDS.3253,group00788
bin_29_2_acIII.genome.CDS.3252,group06993
bin_29_2_acIII.genome.CDS.3707,group00206
bin_29_2_acIII.genome.CDS.3706,group00217
bin_29_2_acIII.genome.CDS.3257,group00235
bin_29_2_acIII.genome.CDS.3256,group00167
bin_29_2_acIII.genome.CDS.4710,group02035
bin_29_2_acIII.genome.CDS.4711,group06882
bin_29_2_acIII.genome.CDS.4516,group03524
bin_29_2_acIII.genome.CDS.4713,group05657
bin_29_2_acIII.genome.CDS.4712,group01327
bin_29_2_acIII.genome.CDS.4715,group01013
bin_29_2_acIII.genome.CDS.4714,group06880
bin_29_2_acIII.genome.CDS.4717,group02443
bin_29_2_acIII.genome.CDS.4716,group00016
bin_29_2_acIII.genome.CDS.4719,group01742
bin_29_2_acIII.genome.CDS.4718,group01364
bin_29_2_acIII.genome.CDS.238,group07102
bin_29_2_acIII.genome.CDS.2687,group00505
bin_29_2_acIII.genome.CDS.3000,group00685
bin_29_2_acIII.genome.CDS.4009,group00046
bin_29_2_acIII.genome.CDS.4008,group05586
bin_29_2_acIII.genome.CDS.2641,group02671
bin_29_2_acIII.genome.CDS.4005,group02274
bin_29_2_acIII.genome.CDS.4004,group00269
bin_29_2_acIII.genome.CDS.4007,group00015
bin_29_2_acIII.genome.CDS.4006,group00119
bin_29_2_acIII.genome.CDS.4001,group00388
bin_29_2_acIII.genome.CDS.4000,group00408
bin_29_2_acIII.genome.CDS.4003,group00506
bin_29_2_acIII.genome.CDS.4002,group00507
bin_29_2_acIII.genome.CDS.3804,group07307
bin_29_2_acIII.genome.CDS.4399,group06855
bin_29_2_acIII.genome.CDS.3878,group01412
bin_29_2_acIII.genome.CDS.3805,group00789
bin_29_2_acIII.genome.CDS.3875,group01299
bin_29_2_acIII.genome.CDS.4394,group00128
bin_29_2_acIII.genome.CDS.4397,group00322
bin_29_2_acIII.genome.CDS.4396,group00279
bin_29_2_acIII.genome.CDS.4391,group06859
bin_29_2_acIII.genome.CDS.3870,group01277
bin_29_2_acIII.genome.CDS.3873,group03217
bin_29_2_acIII.genome.CDS.4392,group05478
bin_29_2_acIII.genome.CDS.3807,group00790
bin_29_2_acIII.genome.CDS.3800,group07308
bin_29_2_acIII.genome.CDS.3801,group00018
bin_29_2_acIII.genome.CDS.3802,group00483
bin_29_2_acIII.genome.CDS.3088,group00463
bin_29_2_acIII.genome.CDS.3803,group00076
bin_29_2_acIII.genome.CDS.4181,group03523
bin_29_2_acIII.genome.CDS.4521,group06832
bin_29_2_acIII.genome.CDS.3089,group00520
bin_29_2_acIII.genome.CDS.1106,group00486
bin_29_2_acIII.genome.CDS.3320,group04225
bin_29_2_acIII.genome.CDS.3001,group00324
bin_29_2_acIII.genome.CDS.4468,group02036
bin_29_2_acIII.genome.CDS.3592,group07193
bin_29_2_acIII.genome.CDS.3041,group02677
bin_29_2_acIII.genome.CDS.3590,group07195
bin_29_2_acIII.genome.CDS.4816,group04150
bin_29_2_acIII.genome.CDS.4817,group01014
bin_29_2_acIII.genome.CDS.4814,group06926
bin_29_2_acIII.genome.CDS.4815,group05658
bin_29_2_acIII.genome.CDS.4812,group04588
bin_29_2_acIII.genome.CDS.4813,group01383
bin_29_2_acIII.genome.CDS.4810,group03803
bin_29_2_acIII.genome.CDS.4811,group06928
bin_29_2_acIII.genome.CDS.3044,group00090
bin_29_2_acIII.genome.CDS.4818,group03204
bin_29_2_acIII.genome.CDS.3045,group00895
bin_29_2_acIII.genome.CDS.3594,group07191
bin_29_2_acIII.genome.CDS.3047,group00336
bin_29_2_acIII.genome.CDS.4341,group01309
bin_29_2_acIII.genome.CDS.395,group07084
bin_29_2_acIII.genome.CDS.396,group01111
bin_29_2_acIII.genome.CDS.420,group07073
bin_29_2_acIII.genome.CDS.421,group03740
bin_29_2_acIII.genome.CDS.938,group06966
bin_29_2_acIII.genome.CDS.3940,group07270
bin_29_2_acIII.genome.CDS.2933,group00222
bin_29_2_acIII.genome.CDS.2396,group06936
bin_29_2_acIII.genome.CDS.2931,group00994
bin_29_2_acIII.genome.CDS.2930,group00009
bin_29_2_acIII.genome.CDS.2936,group01529
bin_29_2_acIII.genome.CDS.2935,group00402
bin_29_2_acIII.genome.CDS.2934,group01795
bin_29_2_acIII.genome.CDS.2939,group00991
bin_29_2_acIII.genome.CDS.2938,group07055
bin_29_2_acIII.genome.CDS.2739,group00819
bin_29_2_acIII.genome.CDS.2738,group02476
bin_29_2_acIII.genome.CDS.2731,group03492
bin_29_2_acIII.genome.CDS.2730,group00118
bin_29_2_acIII.genome.CDS.2733,group07094
bin_29_2_acIII.genome.CDS.2732,group00957
bin_29_2_acIII.genome.CDS.4616,group00251
bin_29_2_acIII.genome.CDS.2737,group00455
bin_29_2_acIII.genome.CDS.2736,group05626
bin_29_2_acIII.genome.CDS.4617,group00287
bin_29_2_acIII.genome.CDS.3066,group00409
bin_29_2_acIII.genome.CDS.2640,group00935
bin_29_2_acIII.genome.CDS.3064,group03098
bin_29_2_acIII.genome.CDS.2642,group03741
bin_29_2_acIII.genome.CDS.2645,group03440
bin_29_2_acIII.genome.CDS.2644,group02920
bin_29_2_acIII.genome.CDS.2647,group03741
bin_29_2_acIII.genome.CDS.2646,group00830
bin_29_2_acIII.genome.CDS.2649,group04034
bin_29_2_acIII.genome.CDS.2648,group00010
bin_29_2_acIII.genome.CDS.3068,group00214
bin_29_2_acIII.genome.CDS.3069,group00281
bin_29_2_acIII.genome.CDS.4610,group01032
bin_29_2_acIII.genome.CDS.3468,group03570
bin_29_2_acIII.genome.CDS.3469,group01338
bin_29_2_acIII.genome.CDS.3462,group07138
bin_29_2_acIII.genome.CDS.3463,group04144
bin_29_2_acIII.genome.CDS.3460,group07139
bin_29_2_acIII.genome.CDS.3461,group00049
bin_29_2_acIII.genome.CDS.3466,group03471
bin_29_2_acIII.genome.CDS.3467,group01989
bin_29_2_acIII.genome.CDS.2678,group00785
bin_29_2_acIII.genome.CDS.3465,group01349
bin_29_2_acIII.genome.CDS.4140,group02606
bin_29_2_acIII.genome.CDS.4493,group06839
bin_29_2_acIII.genome.CDS.4142,group03129
bin_29_2_acIII.genome.CDS.4491,group00670
bin_29_2_acIII.genome.CDS.4496,group06837
bin_29_2_acIII.genome.CDS.4145,group00142
bin_29_2_acIII.genome.CDS.4611,group06923
bin_29_2_acIII.genome.CDS.4495,group01981
bin_29_2_acIII.genome.CDS.4148,group07239
bin_29_2_acIII.genome.CDS.4149,group07238
bin_29_2_acIII.genome.CDS.4498,group01675
bin_29_2_acIII.genome.CDS.4499,group01072
bin_29_2_acIII.genome.CDS.3602,group07184
bin_29_2_acIII.genome.CDS.3603,group07183
bin_29_2_acIII.genome.CDS.3600,group07186
bin_29_2_acIII.genome.CDS.35,group06942
bin_29_2_acIII.genome.CDS.3606,group07180
bin_29_2_acIII.genome.CDS.3607,group07179
bin_29_2_acIII.genome.CDS.3604,group07182
bin_29_2_acIII.genome.CDS.3605,group07181
bin_29_2_acIII.genome.CDS.3608,group07178
bin_29_2_acIII.genome.CDS.3609,group07177
bin_29_2_acIII.genome.CDS.3264,group00843
bin_29_2_acIII.genome.CDS.4545,group02594
bin_29_2_acIII.genome.CDS.3266,group06991
bin_29_2_acIII.genome.CDS.3267,group04358
bin_29_2_acIII.genome.CDS.4540,group00010
bin_29_2_acIII.genome.CDS.4541,group00049
bin_29_2_acIII.genome.CDS.4542,group00049
bin_29_2_acIII.genome.CDS.4543,group03104
bin_29_2_acIII.genome.CDS.4548,group00954
bin_29_2_acIII.genome.CDS.3269,group06989
bin_29_2_acIII.genome.CDS.2614,group00529
bin_29_2_acIII.genome.CDS.4613,group00753
bin_29_2_acIII.genome.CDS.3288,group00183
bin_29_2_acIII.genome.CDS.3289,group02706
bin_29_2_acIII.genome.CDS.3286,group06983
bin_29_2_acIII.genome.CDS.3287,group04694
bin_29_2_acIII.genome.CDS.3284,group01035
bin_29_2_acIII.genome.CDS.3285,group02123
bin_29_2_acIII.genome.CDS.3282,group06984
bin_29_2_acIII.genome.CDS.3283,group01768
bin_29_2_acIII.genome.CDS.3280,group01260
bin_29_2_acIII.genome.CDS.3281,group00173
bin_29_2_acIII.genome.CDS.4728,group01630
bin_29_2_acIII.genome.CDS.4729,group00356
bin_29_2_acIII.genome.CDS.3118,group00173
bin_29_2_acIII.genome.CDS.3119,group01034
bin_29_2_acIII.genome.CDS.4724,group03661
bin_29_2_acIII.genome.CDS.4725,group06879
bin_29_2_acIII.genome.CDS.4726,group02151
bin_29_2_acIII.genome.CDS.3115,group07028
bin_29_2_acIII.genome.CDS.4720,group04213
bin_29_2_acIII.genome.CDS.3113,group00887
bin_29_2_acIII.genome.CDS.4722,group00663
bin_29_2_acIII.genome.CDS.3111,group05630
bin_29_2_acIII.genome.CDS.3963,group03037
bin_29_2_acIII.genome.CDS.4038,group01329
bin_29_2_acIII.genome.CDS.4039,group00033
bin_29_2_acIII.genome.CDS.4030,group07258
bin_29_2_acIII.genome.CDS.4031,group00383
bin_29_2_acIII.genome.CDS.4032,group01045
bin_29_2_acIII.genome.CDS.4033,group05585
bin_29_2_acIII.genome.CDS.4034,group01282
bin_29_2_acIII.genome.CDS.4035,group00876
bin_29_2_acIII.genome.CDS.4036,group00981
bin_29_2_acIII.genome.CDS.4037,group07257
bin_29_2_acIII.genome.CDS.3942,group05253
bin_29_2_acIII.genome.CDS.4243,group00330
bin_29_2_acIII.genome.CDS.4534,group00350
bin_29_2_acIII.genome.CDS.3961,group00434
bin_29_2_acIII.genome.CDS.3464,group01343
bin_29_2_acIII.genome.CDS.4537,group00662
bin_29_2_acIII.genome.CDS.3848,group07297
bin_29_2_acIII.genome.CDS.3849,group01328
bin_29_2_acIII.genome.CDS.3744,group00121
bin_29_2_acIII.genome.CDS.3840,group07301
bin_29_2_acIII.genome.CDS.3211,group01358
bin_29_2_acIII.genome.CDS.3842,group00681
bin_29_2_acIII.genome.CDS.4819,group00423
bin_29_2_acIII.genome.CDS.3844,group01227
bin_29_2_acIII.genome.CDS.3845,group07299
bin_29_2_acIII.genome.CDS.3846,group00697
bin_29_2_acIII.genome.CDS.4246,group05610
bin_29_2_acIII.genome.CDS.1732,group07240
bin_29_2_acIII.genome.CDS.3741,group00273
bin_29_2_acIII.genome.CDS.4244,group00213
bin_29_2_acIII.genome.CDS.1287,group00553
bin_29_2_acIII.genome.CDS.4249,group00295
bin_29_2_acIII.genome.CDS.4248,group00334
bin_29_2_acIII.genome.CDS.3967,group00218
bin_29_2_acIII.genome.CDS.3219,group03116
bin_29_2_acIII.genome.CDS.2613,group00038
bin_29_2_acIII.genome.CDS.2650,group04023
bin_29_2_acIII.genome.CDS.3749,group00853
bin_29_2_acIII.genome.CDS.3748,group03522
bin_29_2_acIII.genome.CDS.3369,group00669
bin_29_2_acIII.genome.CDS.3966,group00607
bin_29_2_acIII.genome.CDS.4408,group05647
bin_29_2_acIII.genome.CDS.2276,group06901
bin_29_2_acIII.genome.CDS.2690,group07101
bin_29_2_acIII.genome.CDS.3215,group02824
bin_29_2_acIII.genome.CDS.3965,group00477
bin_29_2_acIII.genome.CDS.4401,group00450
bin_29_2_acIII.genome.CDS.4400,group00329
bin_29_2_acIII.genome.CDS.4102,group07248
bin_29_2_acIII.genome.CDS.3363,group00603
bin_29_2_acIII.genome.CDS.3964,group00537
bin_29_2_acIII.genome.CDS.3362,group00337
bin_29_2_acIII.genome.CDS.3365,group06967
bin_29_2_acIII.genome.CDS.3513,group00283
bin_29_2_acIII.genome.CDS.4404,group02849
bin_29_2_acIII.genome.CDS.4407,group01489
bin_29_2_acIII.genome.CDS.4406,group05646
bin_29_2_acIII.genome.CDS.4805,group02187
bin_29_2_acIII.genome.CDS.4804,group06930
bin_29_2_acIII.genome.CDS.4807,group06929
bin_29_2_acIII.genome.CDS.4806,group00951
bin_29_2_acIII.genome.CDS.4801,group05456
bin_29_2_acIII.genome.CDS.4800,group02378
bin_29_2_acIII.genome.CDS.4803,group01697
bin_29_2_acIII.genome.CDS.4802,group06931
bin_29_2_acIII.genome.CDS.4809,group02819
bin_29_2_acIII.genome.CDS.4808,group02133
bin_29_2_acIII.genome.CDS.892,group06973
bin_29_2_acIII.genome.CDS.891,group02765
bin_29_2_acIII.genome.CDS.890,group04409
bin_29_2_acIII.genome.CDS.3968,group00407
bin_29_2_acIII.genome.CDS.3355,group02430
bin_29_2_acIII.genome.CDS.3916,group00252
bin_29_2_acIII.genome.CDS.3885,group02372
bin_29_2_acIII.genome.CDS.4237,group01096
bin_29_2_acIII.genome.CDS.3914,group02260
bin_29_2_acIII.genome.CDS.4235,group02740
bin_29_2_acIII.genome.CDS.3912,group07277
bin_29_2_acIII.genome.CDS.4233,group03763
bin_29_2_acIII.genome.CDS.2704,group05595
bin_29_2_acIII.genome.CDS.2705,group04957
bin_29_2_acIII.genome.CDS.2706,group01259
bin_29_2_acIII.genome.CDS.2700,group00254
bin_29_2_acIII.genome.CDS.2701,group00081
bin_29_2_acIII.genome.CDS.2702,group05625
bin_29_2_acIII.genome.CDS.2703,group03860
bin_29_2_acIII.genome.CDS.4231,group04424
bin_29_2_acIII.genome.CDS.2708,group07099
bin_29_2_acIII.genome.CDS.2709,group03103
bin_29_2_acIII.genome.CDS.2095,group06838
bin_29_2_acIII.genome.CDS.674,group07030
bin_29_2_acIII.genome.CDS.2898,group00624
bin_29_2_acIII.genome.CDS.2899,group00625
bin_29_2_acIII.genome.CDS.2894,group01370
bin_29_2_acIII.genome.CDS.2895,group05617
bin_29_2_acIII.genome.CDS.2896,group05616
bin_29_2_acIII.genome.CDS.2897,group03380
bin_29_2_acIII.genome.CDS.2890,group07061
bin_29_2_acIII.genome.CDS.2891,group00056
bin_29_2_acIII.genome.CDS.2892,group00069
bin_29_2_acIII.genome.CDS.2893,group00231
bin_29_2_acIII.genome.CDS.3075,group00103
bin_29_2_acIII.genome.CDS.3074,group00087
bin_29_2_acIII.genome.CDS.3077,group00109
bin_29_2_acIII.genome.CDS.3076,group00511
bin_29_2_acIII.genome.CDS.3071,group00074
bin_29_2_acIII.genome.CDS.3070,group00744
bin_29_2_acIII.genome.CDS.3073,group00039
bin_29_2_acIII.genome.CDS.3072,group02685
bin_29_2_acIII.genome.CDS.4239,group04082
bin_29_2_acIII.genome.CDS.3079,group00008
bin_29_2_acIII.genome.CDS.3078,group00171
bin_29_2_acIII.genome.CDS.3479,group00467
bin_29_2_acIII.genome.CDS.3478,group03592
bin_29_2_acIII.genome.CDS.3148,group05620
bin_29_2_acIII.genome.CDS.3471,group03175
bin_29_2_acIII.genome.CDS.3470,group02637
bin_29_2_acIII.genome.CDS.3473,group00009
bin_29_2_acIII.genome.CDS.3472,group02471
bin_29_2_acIII.genome.CDS.3475,group00745
bin_29_2_acIII.genome.CDS.3474,group01329
bin_29_2_acIII.genome.CDS.3477,group00181
bin_29_2_acIII.genome.CDS.3476,group04698
bin_29_2_acIII.genome.CDS.4481,group03301
bin_29_2_acIII.genome.CDS.4480,group05475
bin_29_2_acIII.genome.CDS.4483,group01675
bin_29_2_acIII.genome.CDS.4482,group06843
bin_29_2_acIII.genome.CDS.4485,group06842
bin_29_2_acIII.genome.CDS.4484,group00679
bin_29_2_acIII.genome.CDS.4487,group01344
bin_29_2_acIII.genome.CDS.4486,group01344
bin_29_2_acIII.genome.CDS.4489,group06840
bin_29_2_acIII.genome.CDS.4488,group06841
bin_29_2_acIII.genome.CDS.3217,group02084
bin_29_2_acIII.genome.CDS.3611,group05640
bin_29_2_acIII.genome.CDS.3610,group07176
bin_29_2_acIII.genome.CDS.3613,group01378
bin_29_2_acIII.genome.CDS.3615,group07174
bin_29_2_acIII.genome.CDS.3614,group07175
bin_29_2_acIII.genome.CDS.3617,group07172
bin_29_2_acIII.genome.CDS.3616,group07173
bin_29_2_acIII.genome.CDS.3619,group07170
bin_29_2_acIII.genome.CDS.4156,group02396
bin_29_2_acIII.genome.CDS.4155,group00081
bin_29_2_acIII.genome.CDS.4154,group00864
bin_29_2_acIII.genome.CDS.4153,group00451
bin_29_2_acIII.genome.CDS.4152,group00201
bin_29_2_acIII.genome.CDS.4151,group04230
bin_29_2_acIII.genome.CDS.4150,group07237
bin_29_2_acIII.genome.CDS.3273,group06987
bin_29_2_acIII.genome.CDS.4552,group01403
bin_29_2_acIII.genome.CDS.3271,group00762
bin_29_2_acIII.genome.CDS.3270,group05638
bin_29_2_acIII.genome.CDS.3277,group06985
